# epoch model 
57822.550117 6.476074 
57822.564133 6.524080 
57822.578149 6.571577 
57822.592166 6.618559 
57822.606182 6.665017 
57822.620198 6.710944 
57822.634214 6.756331 
57822.648231 6.801172 
57822.662247 6.845457 
57822.676263 6.889178 
57822.690279 6.932327 
57822.704296 6.974896 
57822.718312 7.016876 
57822.732328 7.058258 
57822.746344 7.099033 
57822.760361 7.139193 
57822.774377 7.178728 
57822.788393 7.217629 
57822.802409 7.255888 
57822.816426 7.293494 
57822.830442 7.330439 
57822.844458 7.366713 
57822.858474 7.402306 
57822.872491 7.437209 
57822.886507 7.471413 
57822.900523 7.504908 
57822.914539 7.537684 
57822.928555 7.569732 
57822.942572 7.601041 
57822.956588 7.631603 
57822.970604 7.661406 
57822.984620 7.690443 
57822.998637 7.718701 
57823.012653 7.746173 
57823.026669 7.772848 
57823.040685 7.798717 
57823.054702 7.823769 
57823.068718 7.847995 
57823.082734 7.871386 
57823.096750 7.893932 
57823.110767 7.915622 
57823.124783 7.936449 
57823.138799 7.956402 
57823.152815 7.975472 
57823.166832 7.993650 
57823.180848 8.010926 
57823.194864 8.027292 
57823.208880 8.042739 
57823.222897 8.057257 
57823.236913 8.070838 
57823.250929 8.083474 
57823.264945 8.095155 
57823.278962 8.105874 
57823.292978 8.115623 
57823.306994 8.124392 
57823.321010 8.132176 
57823.335027 8.138965 
57823.349043 8.144752 
57823.363059 8.149530 
57823.377075 8.153293 
57823.391092 8.156032 
57823.405108 8.157741 
57823.419124 8.158414 
57823.433140 8.158044 
57823.447157 8.156626 
57823.461173 8.154153 
57823.475189 8.150620 
57823.489205 8.146022 
57823.503222 8.140354 
57823.517238 8.133610 
57823.531254 8.125786 
57823.545270 8.116878 
57823.559287 8.106882 
57823.573303 8.095794 
57823.587319 8.083612 
57823.601335 8.070331 
57823.615352 8.055948 
57823.629368 8.040463 
57823.643384 8.023871 
57823.657400 8.006172 
57823.671417 7.987364 
57823.685433 7.967446 
57823.699449 7.946417 
57823.713465 7.924275 
57823.727482 7.901023 
57823.741498 7.876658 
57823.755514 7.851183 
57823.769530 7.824597 
57823.783547 7.796902 
57823.797563 7.768101 
57823.811579 7.738193 
57823.825595 7.707184 
57823.839612 7.675073 
57823.853628 7.641866 
57823.867644 7.607566 
57823.881660 7.572176 
57823.895677 7.535700 
57823.909693 7.498144 
57823.923709 7.459513 
57823.937725 7.419811 
57823.951742 7.379045 
57823.965758 7.337221 
57823.979774 7.294346 
57823.993790 7.250427 
57824.007807 7.205471 
57824.021823 7.159486 
57824.035839 7.112480 
57824.049855 7.064463 
57824.063872 7.015442 
57824.077888 6.965428 
57824.091904 6.914430 
57824.105920 6.862459 
57824.119937 6.809525 
57824.133953 6.755640 
57824.147969 6.700815 
57824.161985 6.645061 
57824.176002 6.588391 
57824.190018 6.530817 
57824.204034 6.472353 
57824.218050 6.413012 
57824.232067 6.352808 
57824.246083 6.291755 
57824.260099 6.229867 
57824.274115 6.167160 
57824.288132 6.103649 
57824.302148 6.039348 
57824.316164 5.974276 
57824.330180 5.908447 
57824.344197 5.841878 
57824.358213 5.774587 
57824.372229 5.706591 
57824.386245 5.637908 
57824.400262 5.568556 
57824.414278 5.498554 
57824.428294 5.427919 
57824.442310 5.356672 
57824.456327 5.284832 
57824.470343 5.212417 
57824.484359 5.139450 
57824.498375 5.065949 
57824.512392 4.991935 
57824.526408 4.917429 
57824.540424 4.842453 
57824.554440 4.767028 
57824.568456 4.691175 
57824.582473 4.614916 
57824.596489 4.538274 
57824.610505 4.461271 
57824.624521 4.383929 
57824.638538 4.306272 
57824.652554 4.228323 
57824.666570 4.150104 
57824.680586 4.071640 
57824.694603 3.992954 
57824.708619 3.914070 
57824.722635 3.835012 
57824.736651 3.755804 
57824.750668 3.676470 
57824.764684 3.597036 
57824.778700 3.517525 
57824.792716 3.437962 
57824.806733 3.358373 
57824.820749 3.278782 
57824.834765 3.199214 
57824.848781 3.119695 
57824.862798 3.040250 
57824.876814 2.960904 
57824.890830 2.881682 
57824.904846 2.802610 
57824.918863 2.723714 
57824.932879 2.645018 
57824.946895 2.566549 
57824.960911 2.488332 
57824.974928 2.410392 
57824.988944 2.332755 
57825.002960 2.255447 
57825.016976 2.178493 
57825.030993 2.101918 
57825.045009 2.025748 
57825.059025 1.950008 
57825.073041 1.874724 
57825.087058 1.799920 
57825.101074 1.725622 
57825.115090 1.651854 
57825.129106 1.578642 
57825.143123 1.506010 
57825.157139 1.433983 
57825.171155 1.362586 
57825.185171 1.291842 
57825.199188 1.221776 
57825.213204 1.152412 
57825.227220 1.083773 
57825.241236 1.015884 
57825.255253 0.948768 
57825.269269 0.882447 
57825.283285 0.816945 
57825.297301 0.752285 
57825.311318 0.688490 
57825.325334 0.625580 
57825.339350 0.563580 
57825.353366 0.502509 
57825.367383 0.442391 
57825.381399 0.383245 
57825.395415 0.325093 
57825.409431 0.267956 
57825.423448 0.211854 
57825.437464 0.156806 
57825.451480 0.102833 
57825.465496 0.049953 
57825.479513 -0.001814 
57825.493529 -0.052449 
57825.507545 -0.101935 
57825.521561 -0.150254 
57825.535578 -0.197387 
57825.549594 -0.243319 
57825.563610 -0.288031 
57825.577626 -0.331508 
57825.591643 -0.373734 
57825.605659 -0.414693 
57825.619675 -0.454371 
57825.633691 -0.492751 
57825.647708 -0.529821 
57825.661724 -0.565567 
57825.675740 -0.599974 
57825.689756 -0.633030 
57825.703773 -0.664723 
57825.717789 -0.695040 
57825.731805 -0.723971 
57825.745821 -0.751503 
57825.759838 -0.777626 
57825.773854 -0.802330 
57825.787870 -0.825606 
57825.801886 -0.847443 
57825.815903 -0.867835 
57825.829919 -0.886771 
57825.843935 -0.904246 
57825.857951 -0.920251 
57825.871968 -0.934779 
57825.885984 -0.947826 
57825.900000 -0.959384 
57825.914016 -0.969449 
57825.928033 -0.978016 
57825.942049 -0.985081 
57825.956065 -0.990641 
57825.970081 -0.994693 
57825.984098 -0.997233 
57825.998114 -0.998261 
57826.012130 -0.997773 
57826.026146 -0.995771 
57826.040163 -0.992252 
57826.054179 -0.987218 
57826.068195 -0.980669 
57826.082211 -0.972605 
57826.096228 -0.963030 
57826.110244 -0.951945 
57826.124260 -0.939352 
57826.138276 -0.925256 
57826.152293 -0.909660 
57826.166309 -0.892568 
57826.180325 -0.873985 
57826.194341 -0.853918 
57826.208358 -0.832371 
57826.222374 -0.809351 
57826.236390 -0.784865 
57826.250406 -0.758921 
57826.264422 -0.731527 
57826.278439 -0.702691 
57826.292455 -0.672423 
57826.306471 -0.640731 
57826.320487 -0.607627 
57826.334504 -0.573120 
57826.348520 -0.537222 
57826.362536 -0.499945 
57826.376552 -0.461299 
57826.390569 -0.421299 
57826.404585 -0.379957 
57826.418601 -0.337286 
57826.432617 -0.293301 
57826.446634 -0.248016 
57826.460650 -0.201445 
57826.474666 -0.153605 
57826.488682 -0.104511 
57826.502699 -0.054180 
57826.516715 -0.002628 
57826.530731 0.050128 
57826.544747 0.104070 
57826.558764 0.159180 
57826.572780 0.215440 
57826.586796 0.272830 
57826.600812 0.331332 
57826.614829 0.390926 
57826.628845 0.451591 
57826.642861 0.513308 
57826.656877 0.576056 
57826.670894 0.639813 
57826.684910 0.704558 
57826.698926 0.770269 
57826.712942 0.836923 
57826.726959 0.904499 
57826.740975 0.972973 
57826.754991 1.042322 
57826.769007 1.112523 
57826.783024 1.183552 
57826.797040 1.255384 
57826.811056 1.327995 
57826.825072 1.401361 
57826.839089 1.475456 
57826.853105 1.550255 
57826.867121 1.625733 
57826.881137 1.701864 
57826.895154 1.778622 
57826.909170 1.855981 
57826.923186 1.933915 
57826.937202 2.012396 
57826.951219 2.091398 
57826.965235 2.170895 
57826.979251 2.250858 
57826.993267 2.331260 
57827.007284 2.412075 
57827.021300 2.493274 
57827.035316 2.574829 
57827.049332 2.656713 
57827.063349 2.738897 
57827.077365 2.821354 
57827.091381 2.904055 
57827.105397 2.986971 
57827.119414 3.070075 
57827.133430 3.153337 
57827.147446 3.236730 
57827.161462 3.320225 
57827.175479 3.403792 
57827.189495 3.487404 
57827.203511 3.571031 
57827.217527 3.654645 
57827.231544 3.738217 
57827.245560 3.821718 
57827.259576 3.905120 
57827.273592 3.988395 
57827.287609 4.071512 
57827.301625 4.154444 
57827.315641 4.237163 
57827.329657 4.319639 
57827.343674 4.401845 
57827.357690 4.483751 
57827.371706 4.565331 
57827.385722 4.646556 
57827.399739 4.727397 
57827.413755 4.807827 
57827.427771 4.887819 
57827.441787 4.967344 
57827.455804 5.046376 
57827.469820 5.124886 
57827.483836 5.202848 
57827.497852 5.280236 
57827.511869 5.357022 
57827.525885 5.433179 
57827.539901 5.508682 
57827.553917 5.583504 
57827.567934 5.657620 
57827.581950 5.731003 
57827.595966 5.803629 
57827.609982 5.875472 
57827.623999 5.946507 
57827.638015 6.016710 
57827.652031 6.086057 
57827.666047 6.154522 
57827.680064 6.222084 
57827.694080 6.288717 
57827.708096 6.354399 
57827.722112 6.419107 
57827.736129 6.482818 
57827.750145 6.545510 
57827.764161 6.607162 
57827.778177 6.667751 
57827.792194 6.727256 
57827.806210 6.785658 
57827.820226 6.842934 
57827.834242 6.899065 
57827.848259 6.954031 
57827.862275 7.007813 
57827.876291 7.060392 
57827.890307 7.111749 
57827.904324 7.161866 
57827.918340 7.210725 
57827.932356 7.258308 
57827.946372 7.304599 
57827.960388 7.349581 
57827.974405 7.393238 
57827.988421 7.435554 
57828.002437 7.476513 
57828.016453 7.516101 
57828.030470 7.554304 
57828.044486 7.591107 
57828.058502 7.626497 
57828.072518 7.660460 
57828.086535 7.692984 
57828.100551 7.724057 
57828.114567 7.753666 
57828.128583 7.781802 
57828.142600 7.808451 
57828.156616 7.833605 
57828.170632 7.857254 
57828.184648 7.879387 
57828.198665 7.899996 
57828.212681 7.919073 
57828.226697 7.936609 
57828.240713 7.952596 
57828.254730 7.967028 
57828.268746 7.979898 
57828.282762 7.991200 
57828.296778 8.000928 
57828.310795 8.009077 
57828.324811 8.015642 
57828.338827 8.020619 
57828.352843 8.024004 
57828.366860 8.025794 
57828.380876 8.025987 
57828.394892 8.024579 
57828.408908 8.021569 
57828.422925 8.016956 
57828.436941 8.010738 
57828.450957 8.002915 
57828.464973 7.993488 
57828.478990 7.982456 
57828.493006 7.969821 
57828.507022 7.955585 
57828.521038 7.939748 
57828.535055 7.922314 
57828.549071 7.903285 
57828.563087 7.882664 
57828.577103 7.860456 
57828.591120 7.836664 
57828.605136 7.811293 
57828.619152 7.784348 
57828.633168 7.755834 
57828.647185 7.725759 
57828.661201 7.694127 
57828.675217 7.660945 
57828.689233 7.626222 
57828.703250 7.589964 
57828.717266 7.552179 
57828.731282 7.512877 
57828.745298 7.472066 
57828.759315 7.429754 
57828.773331 7.385953 
57828.787347 7.340671 
57828.801363 7.293920 
57828.815380 7.245710 
57828.829396 7.196052 
57828.843412 7.144958 
57828.857428 7.092440 
57828.871445 7.038511 
57828.885461 6.983182 
57828.899477 6.926466 
57828.913493 6.868378 
57828.927510 6.808931 
57828.941526 6.748138 
57828.955542 6.686014 
57828.969558 6.622574 
57828.983575 6.557832 
57828.997591 6.491805 
57829.011607 6.424506 
57829.025623 6.355953 
57829.039640 6.286161 
