# epoch Tc_folded Tref_folded value value_err offset model full_model val_compare val_compare_err residuals residuals_err jitter 
57972.642391 0.000000 0.000000 -3403.950745 2.539091 -3409.696883 9.231179 -3403.852594 9.133028 2.539091 -0.098151 2.539091 0.773852
57989.571677 0.000000 0.000000 -3403.491118 4.308768 -3409.696883 -1.677455 -3403.242372 -1.926201 4.308768 -0.248746 4.308768 0.773852
57991.553196 0.000000 0.000000 -3392.727040 5.085907 -3409.696883 2.453542 -3402.197482 11.923984 5.085907 9.470442 5.085907 0.773852
57991.656885 0.000000 0.000000 -3401.895347 5.279425 -3409.696883 2.396221 -3413.805243 14.306117 5.279425 11.909896 5.279425 0.773852
57992.564895 0.000000 0.000000 -3414.435048 1.785553 -3409.696883 -1.710972 -3415.023266 -1.122753 1.785553 0.588218 1.785553 0.773852
57992.647092 0.000000 0.000000 -3407.356187 1.636293 -3409.696883 -2.331254 -3407.418501 -2.268940 1.636293 0.062314 1.636293 0.773852
57992.737182 0.000000 0.000000 -3417.465868 2.594756 -3409.696883 -3.033212 -3416.843053 -3.656027 2.594756 -0.622815 2.594756 0.773852
57993.569005 0.000000 0.000000 -3423.538827 1.597645 -3409.696883 -9.110639 -3421.844206 -10.805260 1.597645 -1.694621 1.597645 0.773852
57993.649707 0.000000 0.000000 -3430.623726 5.901415 -3409.696883 -9.533780 -3426.798527 -13.358979 5.901415 -3.825199 5.901415 0.773852
57994.540226 0.000000 0.000000 -3421.639748 1.379527 -3409.696883 -10.839173 -3421.799599 -10.679322 1.379527 0.159851 1.379527 0.773852
57994.614332 0.000000 0.000000 -3412.782905 10.883783 -3409.696883 -10.667751 -3415.032990 -8.417666 10.883783 2.250085 10.883783 0.773852
57994.726301 0.000000 0.000000 -3423.971140 1.846029 -3409.696883 -10.335353 -3426.066126 -8.240367 1.846029 2.094986 1.846029 0.773852
57995.521310 0.000000 0.000000 -3418.160026 2.422678 -3409.696883 -5.964174 -3414.994794 -9.129406 2.422678 -3.165232 2.422678 0.773852
57995.613168 0.000000 0.000000 -3420.573246 1.865867 -3409.696883 -5.306176 -3420.086374 -5.793048 1.865867 -0.486872 1.865867 0.773852
57996.519648 0.000000 0.000000 -3397.815330 6.174933 -3409.696883 0.925063 -3404.987042 8.096775 6.174933 7.171712 6.174933 0.773852
57996.586905 0.000000 0.000000 -3399.385989 3.985312 -3409.696883 1.273533 -3400.702729 2.590273 3.985312 1.316740 3.985312 0.773852
57996.696770 0.000000 0.000000 -3409.231371 3.762886 -3409.696883 1.782963 -3411.937296 4.488887 3.762886 2.705925 3.762886 0.773852
57997.518889 0.000000 0.000000 -3416.192127 10.512481 -3409.696883 2.832371 -3409.310569 -4.049187 10.512481 -6.881558 10.512481 0.773852
57999.514325 0.000000 0.000000 -3420.186816 1.986259 -3409.696883 -4.425682 -3420.985486 -3.627012 1.986259 0.798670 1.986259 0.773852
57999.683151 0.000000 0.000000 -3410.126393 1.923508 -3409.696883 -4.665863 -3409.922871 -4.869384 1.923508 -0.203522 1.923508 0.773852
58000.517294 0.000000 0.000000 -3411.448860 2.158012 -3409.696883 -3.937089 -3409.635626 -5.750322 2.158012 -1.813234 2.158012 0.773852
58000.587327 0.000000 0.000000 -3418.004900 2.210032 -3409.696883 -3.732522 -3417.742148 -3.995274 2.210032 -0.262752 2.210032 0.773852
58000.661400 0.000000 0.000000 -3425.541901 2.702821 -3409.696883 -3.494807 -3420.514208 -8.522500 2.702821 -5.027693 2.702821 0.773852
58001.483841 0.000000 0.000000 -3416.756314 1.574567 -3409.696883 0.018911 -3417.735062 0.997659 1.574567 0.978748 1.574567 0.773852
58001.659262 0.000000 0.000000 -3405.159578 1.746470 -3409.696883 0.752799 -3406.632932 2.226153 1.746470 1.473354 1.746470 0.773852
58011.441099 0.000000 0.000000 -3395.359033 2.361032 -3409.696883 6.825883 -3395.712677 7.179527 2.361032 0.353644 2.361032 0.773852
58011.463972 0.000000 0.000000 -3398.194550 2.270627 -3409.696883 6.888046 -3397.070088 5.763584 2.270627 -1.124462 2.270627 0.773852
58011.492837 0.000000 0.000000 -3400.505372 2.126682 -3409.696883 6.959154 -3400.428042 6.881825 2.126682 -0.077330 2.126682 0.773852
