# epoch model 
57822.550117 0.080488 
57822.564133 0.080185 
57822.578149 0.079880 
57822.592166 0.079572 
57822.606182 0.079262 
57822.620198 0.078950 
57822.634214 0.078635 
57822.648231 0.078317 
57822.662247 0.077997 
57822.676263 0.077675 
57822.690279 0.077351 
57822.704296 0.077024 
57822.718312 0.076694 
57822.732328 0.076363 
57822.746344 0.076029 
57822.760361 0.075693 
57822.774377 0.075355 
57822.788393 0.075015 
57822.802409 0.074673 
57822.816426 0.074328 
57822.830442 0.073982 
57822.844458 0.073633 
57822.858474 0.073283 
57822.872491 0.072930 
57822.886507 0.072576 
57822.900523 0.072220 
57822.914539 0.071862 
57822.928555 0.071502 
57822.942572 0.071140 
57822.956588 0.070777 
57822.970604 0.070412 
57822.984620 0.070045 
57822.998637 0.069676 
57823.012653 0.069306 
57823.026669 0.068935 
57823.040685 0.068562 
57823.054702 0.068187 
57823.068718 0.067811 
57823.082734 0.067434 
57823.096750 0.067055 
57823.110767 0.066675 
57823.124783 0.066293 
57823.138799 0.065911 
57823.152815 0.065527 
57823.166832 0.065142 
57823.180848 0.064756 
57823.194864 0.064369 
57823.208880 0.063981 
57823.222897 0.063592 
57823.236913 0.063202 
57823.250929 0.062811 
57823.264945 0.062419 
57823.278962 0.062027 
57823.292978 0.061634 
57823.306994 0.061240 
57823.321010 0.060845 
57823.335027 0.060450 
57823.349043 0.060055 
57823.363059 0.059659 
57823.377075 0.059262 
57823.391092 0.058865 
57823.405108 0.058468 
57823.419124 0.058070 
57823.433140 0.057673 
57823.447157 0.057275 
57823.461173 0.056877 
57823.475189 0.056478 
57823.489205 0.056080 
57823.503222 0.055682 
57823.517238 0.055284 
57823.531254 0.054886 
57823.545270 0.054488 
57823.559287 0.054091 
57823.573303 0.053694 
57823.587319 0.053297 
57823.601335 0.052901 
57823.615352 0.052505 
57823.629368 0.052109 
57823.643384 0.051715 
57823.657400 0.051320 
57823.671417 0.050927 
57823.685433 0.050534 
57823.699449 0.050142 
57823.713465 0.049751 
57823.727482 0.049361 
57823.741498 0.048972 
57823.755514 0.048584 
57823.769530 0.048197 
57823.783547 0.047811 
57823.797563 0.047426 
57823.811579 0.047043 
57823.825595 0.046661 
57823.839612 0.046280 
57823.853628 0.045901 
57823.867644 0.045523 
57823.881660 0.045146 
57823.895677 0.044772 
57823.909693 0.044399 
57823.923709 0.044027 
57823.937725 0.043658 
57823.951742 0.043290 
57823.965758 0.042924 
57823.979774 0.042560 
57823.993790 0.042198 
57824.007807 0.041838 
57824.021823 0.041480 
57824.035839 0.041124 
57824.049855 0.040771 
57824.063872 0.040419 
57824.077888 0.040070 
57824.091904 0.039723 
57824.105920 0.039379 
57824.119937 0.039037 
57824.133953 0.038698 
57824.147969 0.038361 
57824.161985 0.038027 
57824.176002 0.037695 
57824.190018 0.037366 
57824.204034 0.037040 
57824.218050 0.036717 
57824.232067 0.036396 
57824.246083 0.036079 
57824.260099 0.035764 
57824.274115 0.035452 
57824.288132 0.035144 
57824.302148 0.034838 
57824.316164 0.034535 
57824.330180 0.034236 
57824.344197 0.033940 
57824.358213 0.033647 
57824.372229 0.033357 
57824.386245 0.033070 
57824.400262 0.032787 
57824.414278 0.032507 
57824.428294 0.032231 
57824.442310 0.031958 
57824.456327 0.031688 
57824.470343 0.031422 
57824.484359 0.031160 
57824.498375 0.030901 
57824.512392 0.030646 
57824.526408 0.030394 
57824.540424 0.030146 
57824.554440 0.029902 
57824.568456 0.029661 
57824.582473 0.029424 
57824.596489 0.029191 
57824.610505 0.028961 
57824.624521 0.028736 
57824.638538 0.028514 
57824.652554 0.028296 
57824.666570 0.028082 
57824.680586 0.027871 
57824.694603 0.027665 
57824.708619 0.027463 
57824.722635 0.027264 
57824.736651 0.027069 
57824.750668 0.026879 
57824.764684 0.026692 
57824.778700 0.026509 
57824.792716 0.026330 
57824.806733 0.026155 
57824.820749 0.025984 
57824.834765 0.025817 
57824.848781 0.025654 
57824.862798 0.025495 
57824.876814 0.025340 
57824.890830 0.025189 
57824.904846 0.025041 
57824.918863 0.024898 
57824.932879 0.024759 
57824.946895 0.024624 
57824.960911 0.024492 
57824.974928 0.024365 
57824.988944 0.024241 
57825.002960 0.024122 
57825.016976 0.024006 
57825.030993 0.023894 
57825.045009 0.023786 
57825.059025 0.023682 
57825.073041 0.023581 
57825.087058 0.023485 
57825.101074 0.023392 
57825.115090 0.023303 
57825.129106 0.023218 
57825.143123 0.023136 
57825.157139 0.023059 
57825.171155 0.022984 
57825.185171 0.022914 
57825.199188 0.022847 
57825.213204 0.022784 
57825.227220 0.022724 
57825.241236 0.022667 
57825.255253 0.022615 
57825.269269 0.022565 
57825.283285 0.022519 
57825.297301 0.022477 
57825.311318 0.022437 
57825.325334 0.022401 
57825.339350 0.022368 
57825.353366 0.022339 
57825.367383 0.022312 
57825.381399 0.022289 
57825.395415 0.022269 
57825.409431 0.022251 
57825.423448 0.022237 
57825.437464 0.022225 
57825.451480 0.022217 
57825.465496 0.022211 
57825.479513 0.022208 
57825.493529 0.022208 
57825.507545 0.022210 
57825.521561 0.022215 
57825.535578 0.022223 
57825.549594 0.022233 
57825.563610 0.022245 
57825.577626 0.022260 
57825.591643 0.022277 
57825.605659 0.022296 
57825.619675 0.022318 
57825.633691 0.022341 
57825.647708 0.022367 
57825.661724 0.022395 
57825.675740 0.022424 
57825.689756 0.022456 
57825.703773 0.022489 
57825.717789 0.022524 
57825.731805 0.022561 
57825.745821 0.022599 
57825.759838 0.022639 
57825.773854 0.022680 
57825.787870 0.022722 
57825.801886 0.022766 
57825.815903 0.022811 
57825.829919 0.022858 
57825.843935 0.022905 
57825.857951 0.022954 
57825.871968 0.023003 
57825.885984 0.023053 
57825.900000 0.023104 
57825.914016 0.023156 
57825.928033 0.023209 
57825.942049 0.023262 
57825.956065 0.023315 
57825.970081 0.023369 
57825.984098 0.023424 
57825.998114 0.023478 
57826.012130 0.023533 
57826.026146 0.023588 
57826.040163 0.023643 
57826.054179 0.023699 
57826.068195 0.023754 
57826.082211 0.023808 
57826.096228 0.023863 
57826.110244 0.023917 
57826.124260 0.023971 
57826.138276 0.024024 
57826.152293 0.024077 
57826.166309 0.024129 
57826.180325 0.024181 
57826.194341 0.024232 
57826.208357 0.024282 
57826.222374 0.024331 
57826.236390 0.024379 
57826.250406 0.024425 
57826.264422 0.024471 
57826.278439 0.024516 
57826.292455 0.024559 
57826.306471 0.024601 
57826.320487 0.024641 
57826.334504 0.024680 
57826.348520 0.024718 
57826.362536 0.024753 
57826.376552 0.024787 
57826.390569 0.024820 
57826.404585 0.024850 
57826.418601 0.024878 
57826.432617 0.024905 
57826.446634 0.024929 
57826.460650 0.024951 
57826.474666 0.024971 
57826.488682 0.024989 
57826.502699 0.025005 
57826.516715 0.025018 
57826.530731 0.025028 
57826.544747 0.025037 
57826.558764 0.025042 
57826.572780 0.025045 
57826.586796 0.025045 
57826.600812 0.025043 
57826.614829 0.025037 
57826.628845 0.025029 
57826.642861 0.025018 
57826.656877 0.025004 
57826.670894 0.024987 
57826.684910 0.024966 
57826.698926 0.024943 
57826.712942 0.024917 
57826.726959 0.024887 
57826.740975 0.024854 
57826.754991 0.024817 
57826.769007 0.024778 
57826.783024 0.024734 
57826.797040 0.024688 
57826.811056 0.024637 
57826.825072 0.024584 
57826.839089 0.024526 
57826.853105 0.024465 
57826.867121 0.024401 
57826.881137 0.024333 
57826.895154 0.024260 
57826.909170 0.024185 
57826.923186 0.024105 
57826.937202 0.024021 
57826.951219 0.023934 
57826.965235 0.023843 
57826.979251 0.023748 
57826.993267 0.023649 
57827.007284 0.023545 
57827.021300 0.023438 
57827.035316 0.023327 
57827.049332 0.023212 
57827.063349 0.023093 
57827.077365 0.022969 
57827.091381 0.022842 
57827.105397 0.022710 
57827.119414 0.022575 
57827.133430 0.022435 
57827.147446 0.022291 
57827.161462 0.022143 
57827.175479 0.021991 
57827.189495 0.021834 
57827.203511 0.021673 
57827.217527 0.021509 
57827.231544 0.021340 
57827.245560 0.021166 
57827.259576 0.020989 
57827.273592 0.020807 
57827.287609 0.020622 
57827.301625 0.020432 
57827.315641 0.020238 
57827.329657 0.020039 
57827.343674 0.019837 
57827.357690 0.019630 
57827.371706 0.019420 
57827.385722 0.019205 
57827.399739 0.018986 
57827.413755 0.018763 
57827.427771 0.018536 
57827.441787 0.018305 
57827.455804 0.018069 
57827.469820 0.017830 
57827.483836 0.017587 
57827.497852 0.017340 
57827.511869 0.017089 
57827.525885 0.016834 
57827.539901 0.016575 
57827.553917 0.016312 
57827.567934 0.016046 
57827.581950 0.015775 
57827.595966 0.015501 
57827.609982 0.015223 
57827.623999 0.014942 
57827.638015 0.014657 
57827.652031 0.014368 
57827.666047 0.014076 
57827.680064 0.013780 
57827.694080 0.013481 
57827.708096 0.013178 
57827.722112 0.012872 
57827.736129 0.012562 
57827.750145 0.012249 
57827.764161 0.011933 
57827.778177 0.011614 
57827.792194 0.011292 
57827.806210 0.010966 
57827.820226 0.010638 
57827.834242 0.010306 
57827.848258 0.009972 
57827.862275 0.009634 
57827.876291 0.009294 
57827.890307 0.008951 
57827.904323 0.008606 
57827.918340 0.008257 
57827.932356 0.007906 
57827.946372 0.007553 
57827.960388 0.007197 
57827.974405 0.006839 
57827.988421 0.006478 
57828.002437 0.006115 
57828.016453 0.005750 
57828.030470 0.005383 
57828.044486 0.005014 
57828.058502 0.004642 
57828.072518 0.004269 
57828.086535 0.003894 
57828.100551 0.003517 
57828.114567 0.003139 
57828.128583 0.002759 
57828.142600 0.002377 
57828.156616 0.001993 
57828.170632 0.001609 
57828.184648 0.001223 
57828.198665 0.000835 
57828.212681 0.000447 
57828.226697 0.000057 
57828.240713 -0.000334 
57828.254730 -0.000725 
57828.268746 -0.001118 
57828.282762 -0.001511 
57828.296778 -0.001906 
57828.310795 -0.002300 
57828.324811 -0.002696 
57828.338827 -0.003092 
57828.352843 -0.003488 
57828.366860 -0.003885 
57828.380876 -0.004282 
57828.394892 -0.004679 
57828.408908 -0.005076 
57828.422925 -0.005474 
57828.436941 -0.005871 
57828.450957 -0.006268 
57828.464973 -0.006665 
57828.478990 -0.007062 
57828.493006 -0.007458 
57828.507022 -0.007854 
57828.521038 -0.008249 
57828.535055 -0.008644 
57828.549071 -0.009038 
57828.563087 -0.009431 
57828.577103 -0.009824 
57828.591120 -0.010215 
57828.605136 -0.010606 
57828.619152 -0.010995 
57828.633168 -0.011384 
57828.647185 -0.011771 
57828.661201 -0.012156 
57828.675217 -0.012541 
57828.689233 -0.012923 
57828.703250 -0.013305 
57828.717266 -0.013684 
57828.731282 -0.014062 
57828.745298 -0.014438 
57828.759315 -0.014812 
57828.773331 -0.015185 
57828.787347 -0.015555 
57828.801363 -0.015923 
57828.815380 -0.016289 
57828.829396 -0.016653 
57828.843412 -0.017015 
57828.857428 -0.017374 
57828.871445 -0.017730 
57828.885461 -0.018085 
57828.899477 -0.018436 
57828.913493 -0.018785 
57828.927510 -0.019131 
57828.941526 -0.019474 
57828.955542 -0.019815 
57828.969558 -0.020152 
57828.983575 -0.020487 
57828.997591 -0.020818 
57829.011607 -0.021147 
57829.025623 -0.021472 
57829.039640 -0.021793 
57829.053656 -0.022112 
57829.067672 -0.022427 
57829.081688 -0.022738 
57829.095705 -0.023047 
57829.109721 -0.023351 
57829.123737 -0.023652 
57829.137753 -0.023949 
57829.151770 -0.024242 
57829.165786 -0.024532 
57829.179802 -0.024818 
57829.193818 -0.025099 
