# epoch model 
57822.550117 -0.053698 
57822.564133 -0.053793 
57822.578149 -0.053888 
57822.592166 -0.053983 
57822.606182 -0.054077 
57822.620198 -0.054172 
57822.634214 -0.054266 
57822.648231 -0.054361 
57822.662247 -0.054455 
57822.676263 -0.054550 
57822.690279 -0.054645 
57822.704296 -0.054740 
57822.718312 -0.054835 
57822.732328 -0.054930 
57822.746344 -0.055026 
57822.760361 -0.055123 
57822.774377 -0.055219 
57822.788393 -0.055316 
57822.802409 -0.055414 
57822.816426 -0.055512 
57822.830442 -0.055611 
57822.844458 -0.055710 
57822.858474 -0.055810 
57822.872491 -0.055911 
57822.886507 -0.056013 
57822.900523 -0.056115 
57822.914539 -0.056219 
57822.928555 -0.056323 
57822.942572 -0.056428 
57822.956588 -0.056534 
57822.970604 -0.056641 
57822.984620 -0.056749 
57822.998637 -0.056858 
57823.012653 -0.056969 
57823.026669 -0.057080 
57823.040685 -0.057193 
57823.054702 -0.057307 
57823.068718 -0.057422 
57823.082734 -0.057539 
57823.096750 -0.057657 
57823.110767 -0.057776 
57823.124783 -0.057897 
57823.138799 -0.058019 
57823.152815 -0.058143 
57823.166832 -0.058268 
57823.180848 -0.058395 
57823.194864 -0.058523 
57823.208880 -0.058654 
57823.222897 -0.058785 
57823.236913 -0.058919 
57823.250929 -0.059054 
57823.264945 -0.059191 
57823.278962 -0.059329 
57823.292978 -0.059470 
57823.306994 -0.059612 
57823.321010 -0.059756 
57823.335027 -0.059902 
57823.349043 -0.060050 
57823.363059 -0.060200 
57823.377075 -0.060352 
57823.391092 -0.060506 
57823.405108 -0.060661 
57823.419124 -0.060819 
57823.433140 -0.060979 
57823.447157 -0.061141 
57823.461173 -0.061305 
57823.475189 -0.061471 
57823.489205 -0.061639 
57823.503222 -0.061809 
57823.517238 -0.061981 
57823.531254 -0.062156 
57823.545270 -0.062333 
57823.559287 -0.062512 
57823.573303 -0.062693 
57823.587319 -0.062876 
57823.601335 -0.063061 
57823.615352 -0.063249 
57823.629368 -0.063439 
57823.643384 -0.063631 
57823.657400 -0.063825 
57823.671417 -0.064022 
57823.685433 -0.064221 
57823.699449 -0.064422 
57823.713465 -0.064625 
57823.727482 -0.064831 
57823.741498 -0.065039 
57823.755514 -0.065249 
57823.769530 -0.065461 
57823.783547 -0.065676 
57823.797563 -0.065893 
57823.811579 -0.066112 
57823.825595 -0.066333 
57823.839612 -0.066557 
57823.853628 -0.066782 
57823.867644 -0.067010 
57823.881660 -0.067240 
57823.895677 -0.067473 
57823.909693 -0.067707 
57823.923709 -0.067944 
57823.937725 -0.068183 
57823.951742 -0.068424 
57823.965758 -0.068667 
57823.979774 -0.068912 
57823.993790 -0.069160 
57824.007807 -0.069409 
57824.021823 -0.069660 
57824.035839 -0.069914 
57824.049855 -0.070169 
57824.063872 -0.070427 
57824.077888 -0.070686 
57824.091904 -0.070948 
57824.105920 -0.071211 
57824.119937 -0.071477 
57824.133953 -0.071744 
57824.147969 -0.072013 
57824.161985 -0.072284 
57824.176002 -0.072556 
57824.190018 -0.072831 
57824.204034 -0.073107 
57824.218050 -0.073385 
57824.232067 -0.073665 
57824.246083 -0.073946 
57824.260099 -0.074229 
57824.274115 -0.074513 
57824.288132 -0.074799 
57824.302148 -0.075086 
57824.316164 -0.075375 
57824.330180 -0.075666 
57824.344197 -0.075958 
57824.358213 -0.076251 
57824.372229 -0.076545 
57824.386245 -0.076841 
57824.400262 -0.077138 
57824.414278 -0.077436 
57824.428294 -0.077735 
57824.442310 -0.078036 
57824.456327 -0.078338 
57824.470343 -0.078640 
57824.484359 -0.078944 
57824.498375 -0.079248 
57824.512392 -0.079554 
57824.526408 -0.079860 
57824.540424 -0.080167 
57824.554440 -0.080475 
57824.568456 -0.080783 
57824.582473 -0.081092 
57824.596489 -0.081402 
57824.610505 -0.081713 
57824.624521 -0.082023 
57824.638538 -0.082335 
57824.652554 -0.082646 
57824.666570 -0.082959 
57824.680586 -0.083271 
57824.694603 -0.083584 
57824.708619 -0.083897 
57824.722635 -0.084210 
57824.736651 -0.084523 
57824.750668 -0.084836 
57824.764684 -0.085149 
57824.778700 -0.085462 
57824.792716 -0.085775 
57824.806733 -0.086088 
57824.820749 -0.086400 
57824.834765 -0.086713 
57824.848781 -0.087024 
57824.862798 -0.087336 
57824.876814 -0.087647 
57824.890830 -0.087958 
57824.904846 -0.088268 
57824.918863 -0.088577 
57824.932879 -0.088886 
57824.946895 -0.089194 
57824.960911 -0.089501 
57824.974928 -0.089807 
57824.988944 -0.090112 
57825.002960 -0.090417 
57825.016976 -0.090720 
57825.030993 -0.091023 
57825.045009 -0.091324 
57825.059025 -0.091624 
57825.073041 -0.091922 
57825.087058 -0.092220 
57825.101074 -0.092516 
57825.115090 -0.092810 
57825.129106 -0.093104 
57825.143123 -0.093395 
57825.157139 -0.093685 
57825.171155 -0.093974 
57825.185171 -0.094260 
57825.199188 -0.094545 
57825.213204 -0.094828 
57825.227220 -0.095109 
57825.241236 -0.095388 
57825.255253 -0.095666 
57825.269269 -0.095941 
57825.283285 -0.096214 
57825.297301 -0.096485 
57825.311318 -0.096753 
57825.325334 -0.097020 
57825.339350 -0.097284 
57825.353366 -0.097546 
57825.367383 -0.097805 
57825.381399 -0.098062 
57825.395415 -0.098316 
57825.409431 -0.098567 
57825.423448 -0.098816 
57825.437464 -0.099063 
57825.451480 -0.099306 
57825.465496 -0.099547 
57825.479513 -0.099785 
57825.493529 -0.100020 
57825.507545 -0.100252 
57825.521561 -0.100481 
57825.535578 -0.100707 
57825.549594 -0.100930 
57825.563610 -0.101149 
57825.577626 -0.101366 
57825.591643 -0.101579 
57825.605659 -0.101789 
57825.619675 -0.101996 
57825.633691 -0.102199 
57825.647708 -0.102399 
57825.661724 -0.102596 
57825.675740 -0.102788 
57825.689756 -0.102978 
57825.703773 -0.103163 
57825.717789 -0.103346 
57825.731805 -0.103524 
57825.745821 -0.103699 
57825.759838 -0.103870 
57825.773854 -0.104037 
57825.787870 -0.104200 
57825.801886 -0.104359 
57825.815903 -0.104515 
57825.829919 -0.104666 
57825.843935 -0.104814 
57825.857951 -0.104957 
57825.871968 -0.105097 
57825.885984 -0.105232 
57825.900000 -0.105364 
57825.914016 -0.105491 
57825.928033 -0.105614 
57825.942049 -0.105732 
57825.956065 -0.105847 
57825.970081 -0.105957 
57825.984098 -0.106063 
57825.998114 -0.106164 
57826.012130 -0.106262 
57826.026146 -0.106354 
57826.040163 -0.106443 
57826.054179 -0.106527 
57826.068195 -0.106606 
57826.082211 -0.106681 
57826.096228 -0.106752 
57826.110244 -0.106817 
57826.124260 -0.106879 
57826.138276 -0.106936 
57826.152293 -0.106988 
57826.166309 -0.107036 
57826.180325 -0.107079 
57826.194341 -0.107117 
57826.208357 -0.107151 
57826.222374 -0.107180 
57826.236390 -0.107204 
57826.250406 -0.107223 
57826.264422 -0.107238 
57826.278439 -0.107249 
57826.292455 -0.107254 
57826.306471 -0.107255 
57826.320487 -0.107250 
57826.334504 -0.107242 
57826.348520 -0.107228 
57826.362536 -0.107209 
57826.376552 -0.107186 
57826.390569 -0.107158 
57826.404585 -0.107125 
57826.418601 -0.107088 
57826.432617 -0.107045 
57826.446634 -0.106998 
57826.460650 -0.106946 
57826.474666 -0.106889 
57826.488682 -0.106827 
57826.502699 -0.106760 
57826.516715 -0.106689 
57826.530731 -0.106613 
57826.544747 -0.106531 
57826.558764 -0.106446 
57826.572780 -0.106355 
57826.586796 -0.106259 
57826.600812 -0.106159 
57826.614829 -0.106054 
57826.628845 -0.105944 
57826.642861 -0.105829 
57826.656877 -0.105710 
57826.670894 -0.105585 
57826.684910 -0.105456 
57826.698926 -0.105322 
57826.712942 -0.105184 
57826.726959 -0.105041 
57826.740975 -0.104893 
57826.754991 -0.104740 
57826.769007 -0.104582 
57826.783024 -0.104420 
57826.797040 -0.104254 
57826.811056 -0.104082 
57826.825072 -0.103906 
57826.839089 -0.103725 
57826.853105 -0.103540 
57826.867121 -0.103350 
57826.881137 -0.103156 
57826.895154 -0.102957 
57826.909170 -0.102753 
57826.923186 -0.102545 
57826.937202 -0.102333 
57826.951219 -0.102116 
57826.965235 -0.101894 
57826.979251 -0.101668 
57826.993267 -0.101438 
57827.007284 -0.101203 
57827.021300 -0.100964 
57827.035316 -0.100720 
57827.049332 -0.100473 
57827.063349 -0.100221 
57827.077365 -0.099964 
57827.091381 -0.099704 
57827.105397 -0.099439 
57827.119414 -0.099170 
57827.133430 -0.098897 
57827.147446 -0.098619 
57827.161462 -0.098338 
57827.175479 -0.098052 
57827.189495 -0.097763 
57827.203511 -0.097469 
57827.217527 -0.097172 
57827.231544 -0.096870 
57827.245560 -0.096564 
57827.259576 -0.096255 
57827.273592 -0.095942 
57827.287609 -0.095624 
57827.301625 -0.095303 
57827.315641 -0.094979 
57827.329657 -0.094650 
57827.343674 -0.094318 
57827.357690 -0.093982 
57827.371706 -0.093642 
57827.385722 -0.093299 
57827.399739 -0.092952 
57827.413755 -0.092601 
57827.427771 -0.092247 
57827.441787 -0.091889 
57827.455804 -0.091528 
57827.469820 -0.091164 
57827.483836 -0.090796 
57827.497852 -0.090425 
57827.511869 -0.090050 
57827.525885 -0.089672 
57827.539901 -0.089291 
57827.553917 -0.088906 
57827.567934 -0.088519 
57827.581950 -0.088128 
57827.595966 -0.087734 
57827.609982 -0.087337 
57827.623999 -0.086936 
57827.638015 -0.086533 
57827.652031 -0.086127 
57827.666047 -0.085718 
57827.680064 -0.085306 
57827.694080 -0.084891 
57827.708096 -0.084473 
57827.722112 -0.084052 
57827.736129 -0.083629 
57827.750145 -0.083202 
57827.764161 -0.082773 
57827.778177 -0.082342 
57827.792194 -0.081907 
57827.806210 -0.081470 
57827.820226 -0.081031 
57827.834242 -0.080589 
57827.848258 -0.080144 
57827.862275 -0.079697 
57827.876291 -0.079248 
57827.890307 -0.078796 
57827.904323 -0.078341 
