# epoch model 
57822.550117 -0.000364 
57822.564133 -0.000367 
57822.578149 -0.000370 
57822.592166 -0.000373 
57822.606182 -0.000376 
57822.620198 -0.000380 
57822.634214 -0.000383 
57822.648231 -0.000386 
57822.662247 -0.000389 
57822.676263 -0.000393 
57822.690279 -0.000396 
57822.704296 -0.000399 
57822.718312 -0.000403 
57822.732328 -0.000406 
57822.746344 -0.000409 
57822.760361 -0.000413 
57822.774377 -0.000416 
57822.788393 -0.000419 
57822.802409 -0.000423 
57822.816426 -0.000426 
57822.830442 -0.000429 
57822.844458 -0.000433 
57822.858474 -0.000436 
57822.872491 -0.000439 
57822.886507 -0.000443 
57822.900523 -0.000446 
57822.914539 -0.000450 
57822.928555 -0.000453 
57822.942572 -0.000456 
57822.956588 -0.000460 
57822.970604 -0.000463 
57822.984620 -0.000467 
57822.998637 -0.000470 
57823.012653 -0.000473 
57823.026669 -0.000477 
57823.040685 -0.000480 
57823.054702 -0.000484 
57823.068718 -0.000487 
57823.082734 -0.000491 
57823.096750 -0.000494 
57823.110767 -0.000498 
57823.124783 -0.000501 
57823.138799 -0.000505 
57823.152815 -0.000508 
57823.166832 -0.000512 
57823.180848 -0.000515 
57823.194864 -0.000518 
57823.208880 -0.000522 
57823.222897 -0.000525 
57823.236913 -0.000529 
57823.250929 -0.000532 
57823.264945 -0.000536 
57823.278962 -0.000539 
57823.292978 -0.000543 
57823.306994 -0.000546 
57823.321010 -0.000550 
57823.335027 -0.000553 
57823.349043 -0.000557 
57823.363059 -0.000560 
57823.377075 -0.000564 
57823.391092 -0.000567 
57823.405108 -0.000571 
57823.419124 -0.000574 
57823.433140 -0.000577 
57823.447157 -0.000581 
57823.461173 -0.000584 
57823.475189 -0.000588 
57823.489205 -0.000591 
57823.503222 -0.000595 
57823.517238 -0.000598 
57823.531254 -0.000602 
57823.545270 -0.000605 
57823.559287 -0.000608 
57823.573303 -0.000612 
57823.587319 -0.000615 
57823.601335 -0.000619 
