# time model 
2276.235666 0.994158 
2276.235729 0.994151 
2276.235792 0.994144 
2276.235855 0.994137 
2276.235918 0.994130 
2276.235981 0.994123 
2276.236044 0.994117 
2276.236108 0.994110 
2276.236171 0.994103 
2276.236234 0.994096 
2276.236297 0.994090 
2276.236360 0.994083 
2276.236423 0.994076 
2276.236486 0.994069 
2276.236549 0.994063 
2276.236612 0.994056 
2276.236676 0.994049 
2276.236739 0.994043 
2276.236802 0.994036 
2276.236865 0.994029 
2276.236928 0.994023 
2276.236991 0.994016 
2276.237054 0.994010 
2276.237117 0.994003 
2276.237181 0.993997 
2276.237244 0.993990 
2276.237307 0.993984 
2276.237370 0.993977 
2276.237433 0.993971 
2276.237496 0.993964 
2276.237559 0.993958 
2276.237622 0.993951 
2276.237685 0.993945 
2276.237749 0.993938 
2276.237812 0.993932 
2276.237875 0.993925 
2276.237938 0.993919 
2276.238001 0.993913 
2276.238064 0.993906 
2276.238127 0.993900 
2276.238190 0.993894 
2276.238254 0.993887 
2276.238317 0.993881 
2276.238380 0.993875 
2276.238443 0.993869 
2276.238506 0.993862 
2276.238569 0.993856 
2276.238632 0.993850 
2276.238695 0.993844 
2276.238759 0.993837 
2276.238822 0.993831 
2276.238885 0.993825 
2276.238948 0.993819 
2276.239011 0.993813 
2276.239074 0.993806 
2276.239137 0.993800 
2276.239200 0.993794 
2276.239263 0.993788 
2276.239327 0.993782 
2276.239390 0.993776 
2276.239453 0.993770 
2276.239516 0.993764 
2276.239579 0.993758 
2276.239642 0.993752 
2276.239705 0.993746 
2276.239768 0.993739 
2276.239832 0.993733 
2276.239895 0.993727 
2276.239958 0.993721 
2276.240021 0.993716 
2276.240084 0.993710 
2276.240147 0.993704 
2276.240210 0.993698 
2276.240273 0.993692 
2276.240336 0.993686 
2276.240400 0.993680 
2276.240463 0.993674 
2276.240526 0.993668 
2276.240589 0.993662 
2276.240652 0.993656 
2276.240715 0.993651 
2276.240778 0.993645 
2276.240841 0.993639 
2276.240905 0.993633 
2276.240968 0.993627 
2276.241031 0.993621 
2276.241094 0.993616 
2276.241157 0.993610 
2276.241220 0.993604 
2276.241283 0.993598 
2276.241346 0.993593 
2276.241409 0.993587 
2276.241473 0.993581 
2276.241536 0.993576 
2276.241599 0.993570 
2276.241662 0.993564 
2276.241725 0.993558 
2276.241788 0.993553 
2276.241851 0.993547 
2276.241914 0.993542 
2276.241978 0.993536 
2276.242041 0.993530 
2276.242104 0.993525 
2276.242167 0.993519 
2276.242230 0.993514 
2276.242293 0.993508 
2276.242356 0.993502 
2276.242419 0.993497 
2276.242483 0.993491 
2276.242546 0.993486 
2276.242609 0.993480 
2276.242672 0.993475 
2276.242735 0.993469 
2276.242798 0.993464 
2276.242861 0.993458 
2276.242924 0.993453 
2276.242987 0.993447 
2276.243051 0.993442 
2276.243114 0.993436 
2276.243177 0.993431 
2276.243240 0.993426 
2276.243303 0.993420 
2276.243366 0.993415 
2276.243429 0.993409 
2276.243492 0.993404 
2276.243556 0.993399 
2276.243619 0.993393 
2276.243682 0.993388 
2276.243745 0.993383 
2276.243808 0.993377 
2276.243871 0.993372 
2276.243934 0.993367 
2276.243997 0.993361 
2276.244060 0.993356 
2276.244124 0.993351 
2276.244187 0.993345 
2276.244250 0.993340 
2276.244313 0.993335 
2276.244376 0.993330 
2276.244439 0.993324 
2276.244502 0.993319 
2276.244565 0.993314 
2276.244629 0.993309 
2276.244692 0.993304 
2276.244755 0.993298 
2276.244818 0.993293 
2276.244881 0.993288 
2276.244944 0.993283 
2276.245007 0.993278 
2276.245070 0.993273 
2276.245133 0.993268 
2276.245197 0.993262 
2276.245260 0.993257 
2276.245323 0.993252 
2276.245386 0.993247 
2276.245449 0.993242 
2276.245512 0.993237 
2276.245575 0.993232 
2276.245638 0.993227 
2276.245702 0.993222 
2276.245765 0.993217 
2276.245828 0.993212 
2276.245891 0.993207 
2276.245954 0.993202 
2276.246017 0.993197 
2276.246080 0.993192 
2276.246143 0.993187 
2276.246207 0.993182 
2276.246270 0.993177 
2276.246333 0.993172 
2276.246396 0.993167 
2276.246459 0.993162 
