# time model 
2371.445456 0.991130 
2371.445684 0.991131 
2371.445911 0.991133 
2371.446138 0.991134 
2371.446365 0.991136 
2371.446593 0.991137 
2371.446820 0.991139 
2371.447047 0.991141 
2371.447274 0.991142 
2371.447501 0.991144 
2371.447729 0.991146 
2371.447956 0.991148 
2371.448183 0.991150 
2371.448410 0.991152 
2371.448638 0.991154 
2371.448865 0.991156 
2371.449092 0.991158 
2371.449319 0.991160 
2371.449547 0.991163 
2371.449774 0.991165 
2371.450001 0.991167 
2371.450228 0.991169 
2371.450455 0.991172 
2371.450683 0.991174 
2371.450910 0.991177 
2371.451137 0.991179 
2371.451364 0.991182 
2371.451592 0.991185 
2371.451819 0.991187 
2371.452046 0.991190 
2371.452273 0.991193 
2371.452501 0.991196 
2371.452728 0.991199 
2371.452955 0.991202 
2371.453182 0.991205 
2371.453410 0.991208 
2371.453637 0.991211 
2371.453864 0.991214 
2371.454091 0.991217 
2371.454318 0.991220 
2371.454546 0.991223 
2371.454773 0.991227 
2371.455000 0.991230 
2371.455227 0.991233 
2371.455455 0.991237 
2371.455682 0.991240 
2371.455909 0.991244 
2371.456136 0.991248 
2371.456364 0.991251 
2371.456591 0.991255 
2371.456818 0.991259 
2371.457045 0.991262 
2371.457272 0.991266 
2371.457500 0.991270 
2371.457727 0.991274 
2371.457954 0.991278 
2371.458181 0.991282 
2371.458409 0.991286 
2371.458636 0.991290 
2371.458863 0.991295 
2371.459090 0.991299 
2371.459318 0.991303 
2371.459545 0.991307 
2371.459772 0.991312 
2371.459999 0.991316 
2371.460226 0.991321 
2371.460454 0.991325 
2371.460681 0.991330 
2371.460908 0.991335 
2371.461135 0.991339 
2371.461363 0.991344 
2371.461590 0.991349 
2371.461817 0.991354 
2371.462044 0.991359 
2371.462272 0.991363 
2371.462499 0.991368 
2371.462726 0.991374 
2371.462953 0.991379 
2371.463180 0.991384 
2371.463408 0.991389 
2371.463635 0.991394 
2371.463862 0.991400 
2371.464089 0.991405 
2371.464317 0.991410 
2371.464544 0.991416 
2371.464771 0.991421 
2371.464998 0.991427 
2371.465226 0.991432 
2371.465453 0.991438 
2371.465680 0.991444 
2371.465907 0.991449 
2371.466134 0.991455 
2371.466362 0.991461 
2371.466589 0.991467 
2371.466816 0.991473 
2371.467043 0.991479 
2371.467271 0.991485 
2371.467498 0.991491 
2371.467725 0.991497 
2371.467952 0.991503 
2371.468180 0.991509 
2371.468407 0.991515 
2371.468634 0.991522 
2371.468861 0.991528 
2371.469089 0.991534 
2371.469316 0.991541 
2371.469543 0.991547 
2371.469770 0.991554 
2371.469997 0.991560 
2371.470225 0.991567 
2371.470452 0.991574 
2371.470679 0.991580 
2371.470906 0.991587 
2371.471134 0.991594 
2371.471361 0.991601 
2371.471588 0.991608 
2371.471815 0.991615 
2371.472043 0.991622 
2371.472270 0.991629 
2371.472497 0.991636 
2371.472724 0.991643 
2371.472951 0.991651 
2371.473179 0.991658 
2371.473406 0.991665 
2371.473633 0.991673 
2371.473860 0.991680 
2371.474088 0.991688 
2371.474315 0.991695 
2371.474542 0.991703 
2371.474769 0.991711 
2371.474997 0.991719 
2371.475224 0.991727 
2371.475451 0.991735 
2371.475678 0.991743 
2371.475905 0.991751 
2371.476133 0.991759 
2371.476360 0.991767 
2371.476587 0.991775 
2371.476814 0.991784 
2371.477042 0.991792 
2371.477269 0.991801 
2371.477496 0.991809 
2371.477723 0.991818 
2371.477951 0.991827 
2371.478178 0.991835 
2371.478405 0.991844 
2371.478632 0.991853 
2371.478859 0.991862 
2371.479087 0.991871 
2371.479314 0.991880 
2371.479541 0.991890 
2371.479768 0.991899 
2371.479996 0.991908 
2371.480223 0.991917 
2371.480450 0.991927 
2371.480677 0.991936 
2371.480905 0.991946 
2371.481132 0.991956 
2371.481359 0.991965 
2371.481586 0.991975 
2371.481813 0.991985 
2371.482041 0.991995 
2371.482268 0.992005 
2371.482495 0.992015 
2371.482722 0.992025 
2371.482950 0.992035 
2371.483177 0.992045 
2371.483404 0.992056 
2371.483631 0.992066 
2371.483859 0.992076 
2371.484086 0.992087 
2371.484313 0.992097 
2371.484540 0.992108 
2371.484767 0.992119 
2371.484995 0.992129 
2371.485222 0.992140 
2371.485449 0.992151 
2371.485676 0.992162 
2371.485904 0.992173 
2371.486131 0.992184 
2371.486358 0.992195 
2371.486585 0.992206 
2371.486813 0.992218 
2371.487040 0.992229 
2371.487267 0.992240 
2371.487494 0.992252 
2371.487722 0.992263 
2371.487949 0.992275 
2371.488176 0.992286 
2371.488403 0.992298 
2371.488630 0.992309 
2371.488858 0.992321 
2371.489085 0.992333 
2371.489312 0.992345 
2371.489539 0.992357 
2371.489767 0.992369 
2371.489994 0.992381 
2371.490221 0.992393 
2371.490448 0.992405 
2371.490676 0.992417 
2371.490903 0.992429 
2371.491130 0.992441 
2371.491357 0.992453 
2371.491584 0.992466 
2371.491812 0.992478 
2371.492039 0.992490 
2371.492266 0.992503 
2371.492493 0.992515 
2371.492721 0.992528 
2371.492948 0.992540 
2371.493175 0.992553 
2371.493402 0.992565 
2371.493630 0.992578 
2371.493857 0.992590 
2371.494084 0.992603 
2371.494311 0.992616 
2371.494538 0.992628 
2371.494766 0.992641 
2371.494993 0.992654 
2371.495220 0.992666 
2371.495447 0.992679 
2371.495675 0.992692 
2371.495902 0.992705 
2371.496129 0.992718 
2371.496356 0.992730 
2371.496584 0.992743 
2371.496811 0.992756 
2371.497038 0.992769 
2371.497265 0.992781 
2371.497492 0.992794 
2371.497720 0.992807 
2371.497947 0.992820 
2371.498174 0.992832 
2371.498401 0.992845 
2371.498629 0.992858 
2371.498856 0.992870 
2371.499083 0.992883 
2371.499310 0.992895 
2371.499538 0.992908 
2371.499765 0.992920 
2371.499992 0.992933 
2371.500219 0.992945 
2371.500446 0.992958 
2371.500674 0.992970 
2371.500901 0.992983 
2371.501128 0.992995 
2371.501355 0.993007 
2371.501583 0.993019 
2371.501810 0.993032 
2371.502037 0.993044 
2371.502264 0.993056 
2371.502492 0.993068 
2371.502719 0.993080 
2371.502946 0.993092 
2371.503173 0.993104 
2371.503400 0.993116 
2371.503628 0.993128 
2371.503855 0.993140 
2371.504082 0.993151 
2371.504309 0.993163 
2371.504537 0.993175 
2371.504764 0.993187 
2371.504991 0.993198 
2371.505218 0.993210 
2371.505446 0.993221 
2371.505673 0.993233 
2371.505900 0.993244 
2371.506127 0.993256 
2371.506355 0.993267 
2371.506582 0.993278 
2371.506809 0.993289 
2371.507036 0.993301 
2371.507263 0.993312 
2371.507491 0.993323 
2371.507718 0.993334 
2371.507945 0.993345 
2371.508172 0.993356 
2371.508400 0.993367 
2371.508627 0.993377 
2371.508854 0.993388 
2371.509081 0.993399 
2371.509309 0.993409 
2371.509536 0.993420 
2371.509763 0.993431 
2371.509990 0.993441 
2371.510217 0.993451 
2371.510445 0.993462 
2371.510672 0.993472 
2371.510899 0.993482 
2371.511126 0.993493 
2371.511354 0.993503 
2371.511581 0.993513 
2371.511808 0.993523 
2371.512035 0.993533 
2371.512263 0.993543 
2371.512490 0.993553 
2371.512717 0.993563 
2371.512944 0.993573 
2371.513171 0.993583 
2371.513399 0.993593 
2371.513626 0.993603 
2371.513853 0.993612 
2371.514080 0.993622 
2371.514308 0.993632 
2371.514535 0.993641 
2371.514762 0.993651 
2371.514989 0.993660 
2371.515217 0.993670 
2371.515444 0.993679 
2371.515671 0.993689 
2371.515898 0.993698 
2371.516125 0.993708 
2371.516353 0.993717 
2371.516580 0.993726 
2371.516807 0.993736 
2371.517034 0.993745 
2371.517262 0.993754 
2371.517489 0.993764 
2371.517716 0.993773 
2371.517943 0.993782 
2371.518171 0.993791 
2371.518398 0.993800 
2371.518625 0.993809 
2371.518852 0.993818 
2371.519079 0.993827 
2371.519307 0.993836 
2371.519534 0.993846 
2371.519761 0.993855 
2371.519988 0.993864 
2371.520216 0.993872 
2371.520443 0.993881 
2371.520670 0.993890 
2371.520897 0.993899 
2371.521125 0.993908 
2371.521352 0.993917 
2371.521579 0.993926 
2371.521806 0.993935 
2371.522033 0.993944 
2371.522261 0.993953 
2371.522488 0.993961 
2371.522715 0.993970 
2371.522942 0.993979 
2371.523170 0.993988 
2371.523397 0.993997 
2371.523624 0.994006 
2371.523851 0.994014 
2371.524079 0.994023 
2371.524306 0.994032 
2371.524533 0.994041 
2371.524760 0.994050 
2371.524988 0.994058 
2371.525215 0.994067 
2371.525442 0.994076 
2371.525669 0.994085 
2371.525896 0.994094 
2371.526124 0.994102 
2371.526351 0.994111 
2371.526578 0.994120 
2371.526805 0.994129 
2371.527033 0.994138 
2371.527260 0.994147 
2371.527487 0.994156 
2371.527714 0.994165 
2371.527942 0.994174 
2371.528169 0.994183 
2371.528396 0.994192 
2371.528623 0.994201 
2371.528850 0.994210 
2371.529078 0.994219 
2371.529305 0.994228 
2371.529532 0.994237 
2371.529759 0.994247 
2371.529987 0.994256 
2371.530214 0.994265 
2371.530441 0.994275 
2371.530668 0.994284 
2371.530896 0.994293 
2371.531123 0.994303 
2371.531350 0.994313 
2371.531577 0.994322 
2371.531804 0.994332 
2371.532032 0.994341 
2371.532259 0.994351 
2371.532486 0.994361 
2371.532713 0.994371 
2371.532941 0.994381 
2371.533168 0.994391 
2371.533395 0.994401 
2371.533622 0.994411 
2371.533850 0.994421 
2371.534077 0.994432 
2371.534304 0.994442 
2371.534531 0.994452 
2371.534758 0.994463 
2371.534986 0.994474 
2371.535213 0.994484 
2371.535440 0.994495 
2371.535667 0.994506 
2371.535895 0.994517 
2371.536122 0.994529 
2371.536349 0.994540 
2371.536576 0.994551 
2371.536804 0.994563 
2371.537031 0.994575 
2371.537258 0.994587 
2371.537485 0.994599 
2371.537712 0.994611 
2371.537940 0.994623 
2371.538167 0.994636 
2371.538394 0.994649 
2371.538621 0.994662 
2371.538849 0.994675 
2371.539076 0.994689 
2371.539303 0.994702 
2371.539530 0.994716 
2371.539758 0.994731 
2371.539985 0.994745 
2371.540212 0.994760 
2371.540439 0.994775 
2371.540667 0.994791 
2371.540894 0.994807 
2371.541121 0.994823 
2371.541348 0.994840 
2371.541575 0.994858 
2371.541803 0.994876 
2371.542030 0.994894 
2371.542257 0.994913 
2371.542484 0.994934 
2371.542712 0.994964 
2371.542939 0.995004 
2371.543166 0.995051 
2371.543393 0.995102 
2371.543621 0.995157 
2371.543848 0.995216 
2371.544075 0.995278 
2371.544302 0.995342 
2371.544529 0.995409 
2371.544757 0.995479 
2371.544984 0.995550 
2371.545211 0.995623 
2371.545438 0.995698 
2371.545666 0.995775 
2371.545893 0.995853 
2371.546120 0.995932 
2371.546347 0.996013 
2371.546575 0.996094 
2371.546802 0.996177 
2371.547029 0.996260 
2371.547256 0.996345 
2371.547483 0.996430 
2371.547711 0.996516 
2371.547938 0.996602 
2371.548165 0.996689 
2371.548392 0.996776 
2371.548620 0.996864 
2371.548847 0.996952 
2371.549074 0.997040 
2371.549301 0.997128 
2371.549529 0.997216 
2371.549756 0.997305 
2371.549983 0.997393 
2371.550210 0.997481 
2371.550437 0.997569 
2371.550665 0.997657 
2371.550892 0.997745 
2371.551119 0.997832 
2371.551346 0.997919 
2371.551574 0.998005 
2371.551801 0.998091 
2371.552028 0.998177 
2371.552255 0.998262 
2371.552483 0.998346 
2371.552710 0.998429 
2371.552937 0.998512 
2371.553164 0.998594 
2371.553391 0.998675 
2371.553619 0.998755 
2371.553846 0.998834 
2371.554073 0.998912 
2371.554300 0.998989 
2371.554528 0.999065 
2371.554755 0.999139 
2371.554982 0.999212 
2371.555209 0.999284 
2371.555437 0.999355 
2371.555664 0.999424 
2371.555891 0.999491 
2371.556118 0.999557 
2371.556345 0.999621 
2371.556573 0.999683 
2371.556800 0.999744 
2371.557027 0.999802 
2371.557254 0.999859 
2371.557482 0.999913 
2371.557709 0.999966 
2371.557936 1.000015 
2371.558163 1.000063 
2371.558391 1.000107 
2371.558618 1.000149 
2371.558845 1.000188 
2371.559072 1.000224 
2371.559300 1.000256 
2371.559527 1.000285 
2371.559754 1.000309 
2371.559981 1.000329 
2371.560208 1.000343 
2371.560436 1.000348 
2371.560663 1.000343 
2371.560890 1.000338 
2371.561117 1.000332 
2371.561345 1.000327 
2371.561572 1.000322 
2371.561799 1.000316 
2371.562026 1.000311 
2371.562254 1.000306 
2371.562481 1.000301 
2371.562708 1.000296 
2371.562935 1.000292 
2371.563162 1.000287 
2371.563390 1.000282 
2371.563617 1.000277 
2371.563844 1.000273 
2371.564071 1.000268 
2371.564299 1.000264 
2371.564526 1.000260 
2371.564753 1.000255 
2371.564980 1.000251 
2371.565208 1.000247 
2371.565435 1.000243 
2371.565662 1.000239 
2371.565889 1.000235 
2371.566116 1.000232 
2371.566344 1.000228 
2371.566571 1.000225 
2371.566798 1.000221 
2371.567025 1.000218 
2371.567253 1.000215 
2371.567480 1.000211 
2371.567707 1.000208 
2371.567934 1.000205 
2371.568162 1.000203 
2371.568389 1.000200 
2371.568616 1.000197 
2371.568843 1.000195 
2371.569070 1.000192 
2371.569298 1.000190 
2371.569525 1.000188 
2371.569752 1.000186 
2371.569979 1.000184 
2371.570207 1.000182 
2371.570434 1.000180 
2371.570661 1.000178 
2371.570888 1.000177 
2371.571116 1.000175 
2371.571343 1.000174 
2371.571570 1.000173 
2371.571797 1.000172 
2371.572024 1.000171 
2371.572252 1.000170 
2371.572479 1.000169 
2371.572706 1.000168 
2371.572933 1.000168 
2371.573161 1.000167 
2371.573388 1.000167 
2371.573615 1.000167 
2371.573842 1.000167 
2371.574070 1.000167 
2371.574297 1.000167 
2371.574524 1.000167 
