# time model 
1339.244351 11.961346 
1339.344351 -0.853736 
1339.444351 -13.608485 
1339.544351 -25.907981 
1339.644351 -37.377488 
1339.744351 -47.674962 
1339.844351 -56.501560 
1339.944351 -63.609793 
1340.044351 -68.809233 
1340.144351 -71.969812 
1340.244351 -73.022929 
1340.344351 -71.960658 
1340.444351 -68.833403 
1340.544351 -63.746332 
1340.644351 -56.854903 
1340.744351 -48.359738 
1340.844351 -38.501022 
1340.944351 -27.552544 
1341.044351 -15.815433 
1341.144351 -3.611584 
1341.244351 8.723266 
1341.344351 20.846856 
1341.444351 32.418171 
1341.544351 43.105683 
1341.644351 52.596007 
1341.744351 60.602888 
1341.844351 66.876290 
1341.944351 71.211304 
1342.044351 73.456459 
1342.144351 73.520952 
1342.244351 71.380289 
1342.344351 67.079778 
1342.444351 60.735438 
1342.544351 52.531973 
1342.644351 42.717666 
1342.744351 31.596275 
1342.844351 19.516250 
1342.944351 6.857836 
1343.044351 -5.981231 
1343.144351 -18.600572 
1343.244351 -30.611723 
1343.344351 -41.651616 
1343.444351 -51.394339 
1343.544351 -59.560733 
1343.644351 -65.925570 
1343.744351 -70.322278 
1343.844351 -72.645337 
1343.944351 -72.850588 
1344.044351 -70.953775 
1344.144351 -67.027674 
1344.244351 -61.198133 
1344.344351 -53.639306 
1344.444351 -44.568320 
1344.544351 -34.239525 
1344.644351 -22.938404 
1344.744351 -10.975195 
1344.844351 1.321825 
1344.944351 13.613407 
1345.044351 25.556831 
1345.144351 36.813861 
1345.244351 47.059158 
1345.344351 55.989093 
1345.444351 63.330797 
1345.544351 68.851226 
1345.644351 72.365882 
1345.744351 73.746750 
1345.844351 72.928964 
1345.944351 69.915643 
1346.044351 64.780406 
1346.144351 57.667140 
1346.244351 48.786745 
1346.344351 38.410808 
1346.444351 26.862377 
1346.544351 14.504254 
1346.644351 1.725438 
1346.744351 -11.073492 
1346.844351 -23.495217 
1346.944351 -35.159891 
1347.044351 -45.717998 
1347.144351 -54.861295 
1347.244351 -62.331454 
1347.344351 -67.926259 
1347.444351 -71.503375 
1347.544351 -72.981877 
1347.644351 -72.341810 
1347.744351 -69.622125 
1347.844351 -64.917336 
1347.944351 -58.373205 
1348.044351 -50.181729 
1348.144351 -40.575622 
1348.244351 -29.822424 
1348.344351 -18.218296 
1348.444351 -6.081508 
1348.544351 6.254405 
1348.644351 18.447882 
1348.744351 30.157014 
1348.844351 41.047688 
1348.944351 50.802165 
1349.044351 59.128018 
1349.144351 65.767219 
1349.244351 70.505113 
1349.344351 73.178885 
1349.444351 73.685050 
1349.544351 71.985454 
1349.644351 68.111237 
1349.744351 62.164296 
1349.844351 54.315866 
1349.944351 44.802030 
1350.044351 33.916201 
1350.144351 21.998840 
1350.244351 9.424923 
1350.344351 -3.410135 
1350.444351 -16.105298 
1350.544351 -28.268584 
1350.644351 -39.530824 
1350.744351 -49.557808 
1350.844351 -58.060342 
1350.944351 -64.801921 
1351.044351 -69.603939 
1351.144351 -72.348542 
1351.244351 -72.979322 
1351.344351 -71.500197 
1351.444351 -67.972787 
1351.544351 -62.512651 
1351.644351 -55.284663 
1351.744351 -46.497780 
1351.844351 -36.399360 
1351.944351 -25.269142 
1352.044351 -13.412925 
1352.144351 -1.155921 
1352.244351 11.164236 
1352.344351 23.204898 
1352.444351 34.626269 
1352.544351 45.099728 
1352.644351 54.316568 
1352.744351 61.997020 
1352.844351 67.899332 
1352.944351 71.828598 
1353.044351 73.644887 
1353.144351 73.270209 
1353.244351 70.693759 
1353.344351 65.974940 
1353.444351 59.243700 
1353.544351 50.697904 
1353.644351 40.597615 
1353.744351 29.256422 
1353.844351 17.030190 
1353.944351 4.303813 
1354.044351 -8.523258 
1354.144351 -21.051880 
1354.244351 -32.897617 
1354.344351 -43.703921 
1354.444351 -53.153499 
1354.544351 -60.977432 
1354.644351 -66.961867 
1354.744351 -70.952264 
1354.844351 -72.855355 
1354.944351 -72.639070 
1355.044351 -70.330773 
1355.144351 -66.014150 
1355.244351 -59.825064 
1355.344351 -51.946663 
1355.444351 -42.603955 
1355.544351 -32.057979 
1355.644351 -20.599667 
1355.744351 -8.543390 
1355.844351 3.779811 
1355.944351 16.029387 
1356.044351 27.862859 
1356.144351 38.943875 
1356.244351 48.950704 
1356.344351 57.585113 
1356.444351 64.581445 
1356.544351 69.715642 
1356.644351 72.813846 
1356.744351 73.760134 
1356.844351 72.502852 
1356.944351 69.059035 
1357.044351 63.516402 
1357.144351 56.032535 
1357.244351 46.831014 
1357.344351 36.194493 
1357.444351 24.454934 
1357.544351 11.981480 
1357.644351 -0.833378 
1357.744351 -13.588539 
1357.844351 -25.889060 
1357.944351 -37.360162 
1358.044351 -47.659742 
1358.144351 -56.488879 
1358.244351 -63.600000 
1358.344351 -68.802583 
1358.444351 -71.966462 
1358.544351 -73.022939 
1358.644351 -71.963994 
1358.744351 -68.839941 
1358.844351 -63.755864 
1358.944351 -56.867146 
1359.044351 -48.374341 
1359.144351 -38.517577 
1359.244351 -27.570593 
1359.344351 -15.834482 
1359.444351 -3.631108 
1359.544351 8.703804 
1359.644351 20.827999 
1359.744351 32.400455 
1359.844351 43.089621 
1359.944351 52.582076 
1360.044351 60.591515 
1360.144351 66.867838 
1360.244351 71.206058 
1360.344351 73.454611 
1360.444351 73.522596 
1360.544351 71.385409 
1360.644351 67.088246 
1360.744351 60.747016 
1360.844351 52.546315 
1360.944351 42.734333 
1361.044351 31.614746 
1361.144351 19.535946 
1361.244351 6.878136 
1361.344351 -5.960963 
1361.444351 -18.580964 
1361.544351 -30.593374 
1361.644351 -41.635074 
1361.744351 -51.380086 
1361.844351 -59.549170 
1361.944351 -65.917008 
1362.044351 -70.316934 
1362.144351 -72.643329 
1362.244351 -72.851937 
1362.344351 -70.958410 
1362.444351 -67.035438 
1362.544351 -61.208787 
1362.644351 -53.652537 
1362.744351 -44.583755 
1362.844351 -34.256734 
1362.944351 -22.956914 
1363.044351 -10.994497 
1363.144351 1.302260 
1363.244351 13.594122 
1363.344351 25.538368 
1363.444351 36.796746 
1363.544351 47.043893 
1363.644351 55.976136 
1363.744351 63.320552 
1363.844351 68.844026 
1363.944351 72.361976 
1364.044351 73.746293 
1364.144351 72.932006 
1364.244351 69.922122 
1364.344351 64.790152 
1364.444351 57.679869 
1364.544351 48.802074 
1364.644351 38.428262 
1364.744351 26.881411 
1364.844351 14.524267 
1364.944351 1.745802 
1365.044351 -11.053413 
1365.144351 -23.476043 
1365.244351 -35.142202 
1365.344351 -45.702318 
1365.444351 -54.848074 
1365.544351 -62.321059 
1365.644351 -67.918963 
1365.744351 -71.499355 
1365.844351 -72.981213 
1365.944351 -72.344486 
1366.044351 -69.628035 
1366.144351 -64.926288 
1366.244351 -58.384930 
1366.344351 -50.195890 
1366.444351 -40.591820 
1366.544351 -29.840212 
1366.644351 -18.237184 
1366.744351 -6.100980 
1366.844351 6.234886 
1366.944351 18.428860 
1367.044351 30.139028 
1367.144351 41.031254 
1367.244351 50.787770 
1367.344351 59.116100 
1367.444351 65.758155 
1367.544351 70.499205 
1367.644351 73.176345 
1367.744351 73.685992 
1367.844351 71.989883 
1367.944351 68.119049 
1368.044351 62.175274 
1368.144351 54.329686 
1368.244351 44.818270 
1368.344351 33.934355 
1368.444351 22.018339 
1368.544351 9.445153 
1368.644351 -3.389809 
1368.744351 -16.085508 
1368.844351 -28.249936 
1368.944351 -39.513878 
1369.044351 -49.543061 
1369.144351 -58.048212 
1369.244351 -64.792736 
1369.344351 -69.597937 
1369.444351 -72.345859 
1369.544351 -72.980000 
1369.644351 -71.504183 
1369.744351 -67.979940 
1369.844351 -62.522748 
1369.944351 -55.297406 
1370.044351 -46.512806 
1370.144351 -36.416249 
1370.244351 -25.287431 
1370.344351 -13.432110 
1370.444351 -1.175476 
1370.544351 11.144851 
1370.644351 23.186226 
1370.744351 34.608842 
1370.844351 45.084053 
1370.944351 54.303114 
1371.044351 61.986202 
1371.144351 67.891498 
1371.244351 71.824015 
1371.344351 73.643730 
1371.444351 73.272550 
1371.544351 70.699560 
1371.644351 65.984050 
1371.744351 59.255858 
1371.844351 50.712746 
1371.944351 40.614684 
1372.044351 29.275185 
1372.144351 17.050056 
1372.244351 4.324158 
1372.344351 -8.503072 
1372.444351 -21.032476 
1372.544351 -32.879585 
1372.644351 -43.687799 
1372.744351 -53.139752 
1372.844351 -60.966444 
1372.944351 -66.953931 
1373.044351 -70.947578 
1373.144351 -72.854016 
1373.244351 -72.641082 
1373.344351 -70.336047 
1373.444351 -66.022511 
1373.544351 -59.836258 
1373.644351 -51.960365 
1373.744351 -42.619779 
1373.844351 -32.075486 
1373.944351 -20.618375 
1374.044351 -8.562788 
1374.144351 3.760259 
1374.244351 16.010222 
1374.344351 27.844622 
1374.444351 38.927089 
1374.544351 48.935863 
1374.644351 57.572666 
1374.744351 64.571782 
1374.844351 69.709080 
1374.944351 72.810618 
1375.044351 73.760373 
1375.144351 72.506587 
1375.244351 69.066183 
1375.344351 63.526767 
1375.444351 56.045815 
1375.544351 46.846806 
1375.644351 36.212307 
1375.744351 24.474211 
1375.844351 12.001614 
1375.944351 -0.813020 
1376.044351 -13.568591 
1376.144351 -25.870136 
1376.244351 -37.342832 
1376.344351 -47.644517 
1376.444351 -56.476194 
1376.544351 -63.590203 
1376.644351 -68.795928 
1376.744351 -71.963107 
1376.844351 -73.022944 
1376.944351 -71.967325 
1377.044351 -68.846474 
1377.144351 -63.765392 
1377.244351 -56.879385 
1377.344351 -48.388941 
1377.444351 -38.534128 
1377.544351 -27.588640 
1377.644351 -15.853528 
1377.744351 -3.650633 
1377.844351 8.684341 
1377.944351 20.809141 
1378.044351 32.382737 
1378.144351 43.073556 
1378.244351 52.568141 
1378.344351 60.580138 
1378.444351 66.859381 
1378.544351 71.200806 
1378.644351 73.452758 
1378.744351 73.524235 
1378.844351 71.390524 
1378.944351 67.096710 
1379.044351 60.758588 
1379.144351 52.560653 
1379.244351 42.750996 
1379.344351 31.633215 
1379.444351 19.555641 
1379.544351 6.898436 
1379.644351 -5.940694 
1379.744351 -18.561354 
1379.844351 -30.575022 
1379.944351 -41.618528 
1380.044351 -51.365829 
1380.144351 -59.537602 
1380.244351 -65.908442 
1380.344351 -70.311584 
1380.444351 -72.641314 
1380.544351 -72.853280 
1380.644351 -70.963041 
1380.744351 -67.043198 
1380.844351 -61.219436 
1380.944351 -53.665765 
1381.044351 -44.599187 
1381.144351 -34.273940 
1381.244351 -22.975422 
1381.344351 -11.013799 
1381.444351 1.282695 
1381.544351 13.574836 
1381.644351 25.519902 
1381.744351 36.779629 
1381.844351 47.028625 
1381.944351 55.963176 
1382.044351 63.310302 
1382.144351 68.836821 
1382.244351 72.358065 
1382.344351 73.745831 
1382.444351 72.935042 
1382.544351 69.928597 
1382.644351 64.799892 
1382.744351 57.692594 
1382.844351 48.817398 
1382.944351 38.445714 
1383.044351 26.900442 
1383.144351 14.544279 
1383.244351 1.766166 
1383.344351 -11.033333 
1383.444351 -23.456866 
1383.544351 -35.124509 
1383.644351 -45.686633 
1383.744351 -54.834849 
1383.844351 -62.310658 
1383.944351 -67.911661 
1384.044351 -71.495330 
1384.144351 -72.980544 
1384.244351 -72.347157 
1384.344351 -69.633939 
1384.444351 -64.935235 
1384.544351 -58.396651 
1384.644351 -50.210046 
1384.744351 -40.608015 
1384.844351 -29.857997 
1384.944351 -18.256072 
1385.044351 -6.120451 
1385.144351 6.215368 
1385.244351 18.409838 
1385.344351 30.121039 
1385.444351 41.014818 
1385.544351 50.773372 
1385.644351 59.104178 
1385.744351 65.749087 
1385.844351 70.493292 
1385.944351 73.173799 
1386.044351 73.686928 
1386.144351 71.994307 
1386.244351 68.126856 
1386.344351 62.186247 
1386.444351 54.343501 
1386.544351 44.834506 
1386.644351 33.952507 
1386.744351 22.037836 
1386.844351 9.465382 
1386.944351 -3.369483 
1387.044351 -16.065716 
1387.144351 -28.231286 
1387.244351 -39.496929 
1387.344351 -49.528310 
1387.444351 -58.036077 
1387.544351 -64.783547 
1387.644351 -69.591929 
1387.744351 -72.343171 
1387.844351 -72.980673 
1387.944351 -71.508164 
1388.044351 -67.987088 
1388.144351 -62.532840 
1388.244351 -55.310145 
1388.344351 -46.527828 
1388.444351 -36.433136 
1388.544351 -25.305717 
1388.644351 -13.451294 
1388.744351 -1.195032 
1388.844351 11.125465 
1388.944351 23.167553 
1389.044351 34.591413 
1389.144351 45.068375 
1389.244351 54.289656 
1389.344351 61.975379 
1389.444351 67.883660 
1389.544351 71.819428 
1389.644351 73.642568 
1389.744351 73.274885 
1389.844351 70.705355 
1389.944351 65.993154 
1390.044351 59.268012 
1390.144351 50.727585 
1390.244351 40.631750 
1390.344351 29.293946 
1390.444351 17.069922 
1390.544351 4.344502 
1390.644351 -8.482884 
1390.744351 -21.013071 
1390.844351 -32.861551 
1390.944351 -43.671673 
1391.044351 -53.126001 
1391.144351 -60.955452 
1391.244351 -66.945991 
1391.344351 -70.942886 
1391.444351 -72.852672 
1391.544351 -72.643088 
1391.644351 -70.341315 
1391.744351 -66.030867 
1391.844351 -59.847447 
1391.944351 -51.974063 
1392.044351 -42.635599 
1392.144351 -32.092990 
1392.244351 -20.637083 
1392.344351 -8.582185 
1392.444351 3.740706 
1392.544351 15.991056 
1392.644351 27.826384 
1392.744351 38.910301 
1392.844351 48.921019 
1392.944351 57.560215 
