# time model 
2294.422180 1.000475 
2294.422462 1.000470 
2294.422745 1.000465 
2294.423028 1.000460 
2294.423310 1.000455 
2294.423593 1.000449 
2294.423876 1.000444 
2294.424158 1.000439 
2294.424441 1.000434 
2294.424724 1.000429 
2294.425006 1.000424 
2294.425289 1.000419 
2294.425572 1.000413 
2294.425854 1.000408 
2294.426137 1.000403 
2294.426419 1.000398 
2294.426702 1.000393 
2294.426985 1.000387 
2294.427267 1.000382 
2294.427550 1.000377 
2294.427833 1.000371 
2294.428115 1.000366 
2294.428398 1.000361 
2294.428681 1.000355 
2294.428963 1.000350 
2294.429246 1.000345 
2294.429529 1.000339 
2294.429811 1.000334 
2294.430094 1.000329 
2294.430377 1.000323 
2294.430659 1.000318 
2294.430942 1.000312 
2294.431225 1.000307 
2294.431507 1.000301 
2294.431790 1.000296 
2294.432073 1.000290 
2294.432355 1.000285 
2294.432638 1.000279 
2294.432921 1.000273 
2294.433203 1.000268 
2294.433486 1.000262 
2294.433769 1.000257 
2294.434051 1.000251 
2294.434334 1.000245 
2294.434617 1.000240 
2294.434899 1.000234 
2294.435182 1.000228 
2294.435465 1.000223 
2294.435747 1.000217 
2294.436030 1.000211 
2294.436313 1.000206 
2294.436595 1.000200 
2294.436878 1.000194 
2294.437161 1.000188 
2294.437443 1.000182 
2294.437726 1.000177 
2294.438009 1.000171 
2294.438291 1.000165 
2294.438574 1.000159 
2294.438857 1.000153 
2294.439139 1.000147 
2294.439422 1.000141 
2294.439705 1.000136 
2294.439987 1.000130 
2294.440270 1.000124 
2294.440552 1.000118 
2294.440835 1.000112 
2294.441118 1.000106 
2294.441400 1.000100 
2294.441683 1.000094 
2294.441966 1.000088 
2294.442248 1.000082 
2294.442531 1.000076 
2294.442814 1.000070 
2294.443096 1.000064 
2294.443379 1.000058 
2294.443662 1.000052 
2294.443944 1.000046 
2294.444227 1.000039 
2294.444510 1.000033 
2294.444792 1.000027 
2294.445075 1.000021 
2294.445358 1.000015 
2294.445640 1.000009 
2294.445923 1.000003 
2294.446206 0.999996 
2294.446488 0.999990 
2294.446771 0.999984 
2294.447054 0.999978 
2294.447336 0.999972 
2294.447619 0.999965 
2294.447902 0.999959 
2294.448184 0.999953 
2294.448467 0.999947 
2294.448750 0.999941 
2294.449032 0.999934 
2294.449315 0.999928 
2294.449598 0.999922 
2294.449880 0.999916 
2294.450163 0.999910 
2294.450446 0.999905 
2294.450728 0.999899 
2294.451011 0.999894 
2294.451294 0.999888 
2294.451576 0.999883 
2294.451859 0.999878 
2294.452142 0.999873 
2294.452424 0.999869 
2294.452707 0.999864 
2294.452990 0.999860 
2294.453272 0.999856 
2294.453555 0.999853 
2294.453838 0.999849 
2294.454120 0.999846 
2294.454403 0.999844 
2294.454685 0.999841 
2294.454968 0.999839 
2294.455251 0.999837 
2294.455533 0.999835 
2294.455816 0.999834 
2294.456099 0.999833 
2294.456381 0.999832 
2294.456664 0.999832 
2294.456947 0.999832 
2294.457229 0.999832 
2294.457512 0.999832 
2294.457795 0.999833 
2294.458077 0.999833 
2294.458360 0.999834 
2294.458643 0.999835 
2294.458925 0.999837 
2294.459208 0.999838 
2294.459491 0.999839 
2294.459773 0.999841 
2294.460056 0.999843 
2294.460339 0.999845 
2294.460621 0.999846 
2294.460904 0.999848 
2294.461187 0.999850 
2294.461469 0.999852 
2294.461752 0.999854 
2294.462035 0.999856 
2294.462317 0.999858 
2294.462600 0.999861 
2294.462883 0.999863 
2294.463165 0.999865 
2294.463448 0.999867 
2294.463731 0.999869 
2294.464013 0.999871 
2294.464296 0.999873 
2294.464579 0.999875 
2294.464861 0.999877 
2294.465144 0.999879 
2294.465427 0.999880 
2294.465709 0.999882 
2294.465992 0.999884 
2294.466275 0.999886 
2294.466557 0.999888 
2294.466840 0.999889 
2294.467123 0.999891 
2294.467405 0.999892 
2294.467688 0.999894 
2294.467971 0.999896 
2294.468253 0.999897 
2294.468536 0.999899 
2294.468818 0.999900 
2294.469101 0.999902 
2294.469384 0.999903 
2294.469666 0.999905 
2294.469949 0.999906 
2294.470232 0.999908 
2294.470514 0.999909 
2294.470797 0.999911 
2294.471080 0.999912 
2294.471362 0.999914 
2294.471645 0.999915 
2294.471928 0.999917 
2294.472210 0.999918 
2294.472493 0.999920 
2294.472776 0.999921 
2294.473058 0.999923 
2294.473341 0.999924 
2294.473624 0.999925 
2294.473906 0.999927 
2294.474189 0.999928 
2294.474472 0.999929 
2294.474754 0.999930 
2294.475037 0.999932 
2294.475320 0.999933 
2294.475602 0.999934 
2294.475885 0.999935 
2294.476168 0.999936 
2294.476450 0.999937 
2294.476733 0.999938 
2294.477016 0.999939 
2294.477298 0.999940 
2294.477581 0.999941 
2294.477864 0.999942 
2294.478146 0.999943 
2294.478429 0.999944 
2294.478712 0.999945 
2294.478994 0.999946 
2294.479277 0.999947 
2294.479560 0.999948 
2294.479842 0.999950 
2294.480125 0.999951 
2294.480408 0.999952 
2294.480690 0.999954 
2294.480973 0.999956 
2294.481256 0.999957 
2294.481538 0.999959 
2294.481821 0.999961 
2294.482104 0.999963 
2294.482386 0.999965 
2294.482669 0.999968 
2294.482951 0.999970 
2294.483234 0.999973 
2294.483517 0.999976 
2294.483799 0.999979 
2294.484082 0.999982 
2294.484365 0.999985 
2294.484647 0.999988 
2294.484930 0.999992 
2294.485213 0.999996 
2294.485495 1.000000 
2294.485778 1.000004 
2294.486061 1.000008 
2294.486343 1.000012 
2294.486626 1.000017 
2294.486909 1.000021 
2294.487191 1.000026 
2294.487474 1.000031 
2294.487757 1.000037 
2294.488039 1.000042 
2294.488322 1.000048 
2294.488605 1.000053 
2294.488887 1.000059 
2294.489170 1.000065 
2294.489453 1.000072 
2294.489735 1.000078 
2294.490018 1.000085 
2294.490301 1.000091 
2294.490583 1.000098 
2294.490866 1.000105 
2294.491149 1.000112 
2294.491431 1.000120 
2294.491714 1.000127 
2294.491997 1.000135 
2294.492279 1.000143 
2294.492562 1.000151 
2294.492845 1.000159 
2294.493127 1.000168 
2294.493410 1.000176 
2294.493693 1.000185 
2294.493975 1.000194 
2294.494258 1.000204 
2294.494541 1.000213 
2294.494823 1.000223 
2294.495106 1.000233 
2294.495389 1.000243 
2294.495671 1.000253 
2294.495954 1.000264 
2294.496237 1.000275 
2294.496519 1.000286 
2294.496802 1.000297 
2294.497084 1.000308 
2294.497367 1.000320 
2294.497650 1.000332 
2294.497932 1.000344 
2294.498215 1.000356 
2294.498498 1.000368 
2294.498780 1.000380 
2294.499063 1.000393 
2294.499346 1.000405 
2294.499628 1.000418 
2294.499911 1.000431 
2294.500194 1.000444 
2294.500476 1.000457 
2294.500759 1.000470 
2294.501042 1.000483 
2294.501324 1.000497 
2294.501607 1.000510 
2294.501890 1.000523 
2294.502172 1.000537 
2294.502455 1.000550 
2294.502738 1.000564 
2294.503020 1.000577 
2294.503303 1.000591 
2294.503586 1.000604 
2294.503868 1.000618 
2294.504151 1.000631 
2294.504434 1.000645 
2294.504716 1.000658 
2294.504999 1.000672 
2294.505282 1.000685 
2294.505564 1.000698 
2294.505847 1.000711 
2294.506130 1.000725 
2294.506412 1.000738 
2294.506695 1.000751 
2294.506978 1.000764 
2294.507260 1.000777 
2294.507543 1.000782 
2294.507826 1.000777 
2294.508108 1.000765 
2294.508391 1.000747 
2294.508674 1.000724 
2294.508956 1.000696 
2294.509239 1.000663 
2294.509522 1.000626 
2294.509804 1.000584 
2294.510087 1.000539 
2294.510370 1.000490 
2294.510652 1.000438 
2294.510935 1.000383 
2294.511217 1.000324 
2294.511500 1.000262 
2294.511783 1.000197 
2294.512065 1.000129 
2294.512348 1.000058 
2294.512631 0.999985 
2294.512913 0.999909 
2294.513196 0.999831 
2294.513479 0.999751 
2294.513761 0.999669 
2294.514044 0.999584 
2294.514327 0.999498 
2294.514609 0.999409 
2294.514892 0.999319 
2294.515175 0.999227 
2294.515457 0.999134 
2294.515740 0.999039 
2294.516023 0.998943 
2294.516305 0.998846 
2294.516588 0.998747 
2294.516871 0.998648 
2294.517153 0.998547 
2294.517436 0.998446 
2294.517719 0.998344 
2294.518001 0.998241 
2294.518284 0.998138 
2294.518567 0.998034 
2294.518849 0.997931 
2294.519132 0.997827 
2294.519415 0.997722 
2294.519697 0.997618 
2294.519980 0.997515 
2294.520263 0.997411 
2294.520545 0.997308 
2294.520828 0.997206 
2294.521111 0.997105 
2294.521393 0.997004 
2294.521676 0.996905 
2294.521959 0.996808 
2294.522241 0.996711 
2294.522524 0.996617 
2294.522807 0.996525 
2294.523089 0.996436 
2294.523372 0.996349 
2294.523655 0.996266 
