# time model 
1339.244351 13.486559 
1339.344351 0.208090 
1339.444351 -12.934056 
1339.544351 -25.495340 
1339.644351 -37.075431 
1339.744351 -47.332586 
1339.844351 -55.992169 
1339.944351 -62.849732 
1340.044351 -67.769666 
1340.144351 -70.680676 
1340.244351 -71.569348 
1340.344351 -70.472896 
1340.444351 -67.471974 
1340.544351 -62.684114 
1340.644351 -56.258151 
1340.744351 -48.369748 
1340.844351 -39.218031 
1340.944351 -29.023156 
1341.044351 -18.024605 
1341.144351 -6.479905 
1341.244351 5.336606 
1341.344351 17.135347 
1341.444351 28.613883 
1341.544351 39.460582 
1341.644351 49.360041 
1341.744351 58.000652 
1341.844351 65.084583 
1341.944351 70.340160 
1342.044351 73.536267 
1342.144351 74.497913 
1342.244351 73.121623 
1342.344351 69.388854 
1342.444351 63.375421 
1342.544351 55.255060 
1342.644351 45.295748 
1342.744351 33.848375 
1342.844351 21.328467 
1342.944351 8.192786 
1343.044351 -5.086587 
1343.144351 -18.047820 
1343.244351 -30.261946 
1343.344351 -41.350656 
1343.444351 -50.998328 
1343.544351 -58.958283 
1343.644351 -65.053954 
1343.744351 -69.176117 
1343.844351 -71.277449 
1343.944351 -71.365653 
1344.044351 -69.496144 
1344.144351 -65.765052 
1344.244351 -60.303030 
1344.344351 -53.270106 
1344.444351 -44.851671 
1344.544351 -35.255498 
1344.644351 -24.709643 
1344.744351 -13.460942 
1344.844351 -1.773797 
1344.944351 10.071136 
1345.044351 21.778793 
1345.144351 33.042536 
1345.244351 43.548463 
1345.344351 52.981647 
1345.444351 61.034651 
1345.544351 67.418487 
1345.644351 71.875873 
1345.744351 74.196233 
1345.844351 74.231379 
1345.944351 71.910349 
1346.044351 67.251474 
1346.144351 60.369661 
1346.244351 51.477183 
1346.344351 40.876934 
1346.444351 28.948167 
1346.544351 16.125902 
1346.644351 2.876178 
1346.744351 -10.330067 
1346.844351 -23.041662 
1346.944351 -34.848064 
1347.044351 -45.394905 
1347.144351 -54.393677 
1347.244351 -61.625830 
1347.344351 -66.942225 
1347.444351 -70.259135 
1347.544351 -71.552102 
1347.644351 -70.848769 
1347.744351 -68.221629 
1347.844351 -63.781297 
1347.944351 -57.670721 
1348.044351 -50.060485 
1348.144351 -41.145230 
1348.244351 -31.141049 
1348.344351 -20.283658 
1348.444351 -8.827057 
1348.544351 2.957678 
1348.644351 14.783869 
1348.744351 26.351411 
1348.844351 37.350148 
1348.944351 47.464899 
1349.044351 56.382573 
1349.144351 63.801657 
1349.244351 69.444130 
1349.344351 73.069509 
1349.444351 74.490281 
1349.544351 73.587453 
1349.644351 70.324528 
1349.744351 64.757892 
1349.844351 57.041683 
1349.944351 47.425635 
1350.044351 36.245266 
1350.144351 23.904878 
1350.244351 10.855000 
1350.344351 -2.433258 
1350.444351 -15.494068 
1350.544351 -27.890268 
1350.644351 -39.232229 
1350.744351 -49.191070 
1350.844351 -57.506037 
1350.944351 -63.986611 
1351.044351 -68.510425 
1351.144351 -71.018257 
1351.244351 -71.507356 
1351.344351 -70.024143 
1351.444351 -66.657108 
1351.544351 -61.530423 
1351.644351 -54.798581 
1351.744351 -46.642155 
1351.844351 -37.264621 
1351.944351 -26.890099 
1352.044351 -15.761761 
1352.144351 -4.140579 
1352.244351 7.695928 
1352.344351 19.455399 
1352.444351 30.833224 
1352.544351 41.516528 
1352.644351 51.189982 
1352.744351 59.543848 
1352.844351 66.284442 
1352.944351 71.146962 
1353.044351 73.910203 
1353.144351 74.412219 
1353.244351 72.565468 
1353.344351 68.369597 
1353.444351 61.919847 
1353.544351 53.409246 
1353.644351 43.123418 
1353.744351 31.427770 
1353.844351 18.748021 
1353.944351 5.546081 
1354.044351 -7.706033 
1354.144351 -20.551361 
1354.244351 -32.569777 
1354.344351 -43.394678 
1354.444351 -52.723843 
1354.544351 -60.324596 
1354.644351 -66.034102 
1354.744351 -69.755951 
1354.844351 -71.454348 
1354.944351 -71.147076 
1355.044351 -68.898190 
1355.144351 -64.811155 
1355.244351 -59.022843 
1355.344351 -51.698618 
1355.444351 -43.028530 
1355.544351 -33.224536 
1355.644351 -22.518533 
1355.744351 -11.160949 
1355.844351 0.580464 
1355.944351 12.422011 
1356.044351 24.066058 
1356.144351 35.204122 
1356.244351 45.521531 
1356.344351 54.704093 
1356.444351 62.447092 
1356.544351 68.466729 
1356.644351 72.513782 
1356.744351 74.388842 
1356.844351 73.957973 
1356.944351 71.167145 
1357.044351 66.053518 
1357.144351 58.751546 
1357.244351 49.492324 
1357.344351 38.595308 
1357.444351 26.452661 
1357.544351 13.507636 
1357.644351 0.229321 
1357.744351 -12.913407 
1357.844351 -25.475953 
1357.944351 -37.057900 
1358.044351 -47.317407 
1358.144351 -55.979725 
1358.244351 -62.840293 
1358.344351 -67.763396 
1358.444351 -70.677642 
1358.544351 -71.569527 
1358.644351 -70.476194 
1358.744351 -67.478230 
1358.844351 -62.693115 
1358.944351 -56.269635 
1359.044351 -48.383417 
1359.144351 -39.233548 
1359.244351 -29.040153 
1359.344351 -18.042686 
1359.444351 -6.498644 
1359.544351 5.317660 
1359.644351 17.116668 
1359.744351 28.595962 
1359.844351 39.443923 
1359.944351 49.345146 
1360.044351 57.988010 
1360.144351 65.074654 
1360.244351 70.333350 
1360.344351 73.532904 
1360.444351 74.498224 
1360.544351 73.125709 
1360.644351 69.396671 
1360.744351 63.386770 
1360.844351 55.269586 
1360.944351 45.312952 
1361.044351 33.867639 
1361.144351 21.349088 
1361.244351 8.214015 
1361.344351 -5.065502 
1361.444351 -18.027597 
1361.544351 -30.243235 
1361.644351 -41.334013 
1361.744351 -50.984203 
1361.844351 -58.947013 
1361.944351 -65.045768 
1362.044351 -69.171137 
1362.144351 -71.275706 
1362.244351 -71.367094 
1362.344351 -69.500646 
1362.444351 -65.772434 
1362.544351 -60.313057 
1362.644351 -53.282502 
1362.744351 -44.866120 
1362.844351 -35.271652 
1362.944351 -24.727122 
1363.044351 -13.479338 
1363.144351 -1.792674 
1363.244351 10.052239 
1363.344351 21.760358 
1363.444351 33.025059 
1363.544351 43.532449 
1363.644351 52.967595 
1363.744351 61.023041 
1363.844351 67.409760 
1363.944351 71.870407 
1364.044351 74.194318 
1364.144351 74.233194 
1364.244351 71.915940 
1364.344351 67.260735 
1364.444351 60.382330 
1364.544351 51.492846 
1364.644351 40.895041 
1364.744351 28.968061 
1364.844351 16.146857 
1364.944351 2.897438 
1365.044351 -10.309245 
1365.144351 -23.021971 
