# time model 
1339.244351 12.614962 
1339.344351 -0.441069 
1339.444351 -13.413272 
1339.544351 -25.887774 
1339.644351 -37.478474 
1339.744351 -47.840445 
1339.844351 -56.680117 
1339.944351 -63.762085 
1340.044351 -68.912687 
1340.144351 -72.020764 
1340.244351 -73.036161 
1340.344351 -71.966568 
1340.444351 -68.873287 
1340.544351 -63.866405 
1340.644351 -57.099774 
1340.744351 -48.766023 
1340.844351 -39.091751 
1340.944351 -28.332907 
1341.044351 -16.770296 
1341.144351 -4.705036 
1341.244351 7.546206 
1341.344351 19.656451 
1341.444351 31.294345 
1341.544351 42.130995 
1341.644351 51.847837 
1341.744351 60.145587 
1341.844351 66.754132 
1341.944351 71.443088 
1342.044351 74.032520 
1342.144351 74.403120 
1342.244351 72.505011 
1342.344351 68.364226 
1342.444351 62.085976 
1342.544351 53.853983 
1342.644351 43.925473 
1342.744351 32.621838 
1342.844351 20.315445 
1342.944351 7.413498 
1343.044351 -5.659814 
1343.144351 -18.481515 
1343.244351 -30.647039 
1343.344351 -41.785307 
1343.444351 -51.570885 
1343.544351 -59.732824 
1343.644351 -66.060137 
1343.744351 -70.404195 
1343.844351 -72.678508 
1343.944351 -72.856494 
1344.044351 -70.967823 
1344.144351 -67.093892 
1344.244351 -61.362889 
1344.344351 -53.944753 
1344.444351 -45.046257 
1344.544351 -34.906276 
1344.644351 -23.791233 
1344.744351 -11.990603 
1344.844351 0.187687 
1344.944351 12.422186 
1345.044351 24.383408 
1345.144351 35.740107 
1345.244351 46.166512 
1345.344351 55.350637 
1345.444351 63.003623 
1345.544351 68.869949 
1345.644351 72.738122 
1345.744351 74.451275 
1345.844351 73.916906 
1345.944351 71.114863 
1346.044351 66.102641 
1346.144351 59.017152 
1346.244351 50.072345 
1346.344351 39.552445 
1346.444351 27.800992 
1346.544351 15.206338 
1346.644351 2.184670 
1346.744351 -10.838152 
1346.844351 -23.444545 
1346.944351 -35.241669 
1347.044351 -45.875412 
1347.144351 -55.041247 
1347.244351 -62.491719 
1347.344351 -68.040635 
1347.444351 -71.564357 
1347.544351 -73.000701 
1347.644351 -72.346068 
1347.744351 -69.651378 
1347.844351 -65.017335 
1347.944351 -58.589415 
1348.044351 -50.552862 
1348.144351 -41.127836 
1348.244351 -30.564762 
1348.344351 -19.139818 
1348.444351 -7.150421 
1348.544351 5.089481 
1348.644351 17.254527 
1348.744351 29.013724 
1348.844351 40.037087 
1348.944351 50.003299 
1349.044351 58.608441 
1349.144351 65.575719 
1349.244351 70.665918 
1349.344351 73.688135 
1349.444351 74.510141 
1349.544351 73.067523 
1349.644351 69.370710 
1349.744351 63.508952 
1349.844351 55.650481 
1349.944351 46.038393 
1350.044351 34.982153 
1350.144351 22.845118 
1350.244351 10.028902 
1350.344351 -3.044247 
1350.444351 -15.949678 
1350.544351 -28.277844 
1350.644351 -39.649871 
1350.744351 -49.730353 
1350.844351 -58.236865 
1350.944351 -64.946108 
1351.044351 -69.696887 
1351.144351 -72.390372 
1351.244351 -72.988218 
1351.344351 -71.509154 
1351.444351 -68.024590 
1351.544351 -62.653733 
1351.644351 -55.558548 
1351.744351 -46.938803 
1351.844351 -37.027306 
1351.944351 -26.085313 
1352.044351 -14.398038 
1352.144351 -2.270088 
1352.244351 9.979380 
1352.344351 22.022017 
1352.444351 33.526383 
1352.544351 44.164977 
1352.644351 53.622331 
1352.744351 61.604152 
1352.844351 67.847383 
1352.944351 72.130837 
1353.044351 74.285869 
1353.144351 74.206356 
1353.244351 71.857109 
1353.344351 67.279784 
1353.444351 60.595413 
1353.544351 52.002894 
1353.644351 41.773107 
1353.744351 30.238756 
1353.844351 17.780503 
1353.944351 4.810391 
1354.044351 -8.246196 
1354.144351 -20.968630 
1354.244351 -32.957894 
1354.344351 -43.851131 
1354.444351 -53.333162 
1354.544351 -61.144642 
1354.644351 -67.086902 
1354.744351 -71.023776 
1354.844351 -72.880936 
1354.944351 -72.643326 
1355.044351 -70.351295 
1355.144351 -66.095960 
1355.244351 -60.014221 
1355.344351 -52.283739 
1355.444351 -43.118049 
1355.544351 -32.761871 
1355.644351 -21.486576 
1355.744351 -9.585689 
1355.844351 2.629763 
1355.944351 14.836270 
1356.044351 26.703468 
1356.144351 37.900589 
1356.244351 48.103911 
1356.344351 57.005275 
1356.444351 64.321627 
1356.544351 69.805352 
1356.644351 73.255006 
1356.744351 74.525802 
1356.844351 73.539082 
1356.944351 70.289832 
1357.044351 64.851348 
1357.144351 57.376207 
1357.244351 48.093032 
1357.344351 37.298857 
1357.444351 25.347398 
1357.544351 12.633961 
1357.644351 -0.421881 
1357.744351 -13.394515 
1357.844351 -25.870038 
1357.944351 -37.462299 
1358.044351 -47.826300 
1358.144351 -56.668391 
1358.244351 -63.753079 
1358.344351 -68.906609 
1358.444351 -72.017733 
1358.544351 -73.036207 
1358.644351 -71.969640 
1358.744351 -68.879256 
1358.844351 -63.875078 
1358.944351 -57.110896 
1359.044351 -48.779285 
1359.144351 -39.106797 
1359.244351 -28.349344 
1359.344351 -16.787695 
1359.444351 -4.722944 
1359.544351 7.528263 
1359.644351 19.638957 
1359.744351 31.277786 
1359.844351 42.115847 
1359.944351 51.834557 
1360.044351 60.134594 
1360.144351 66.745796 
1360.244351 71.437713 
1360.344351 74.030326 
1360.444351 74.404234 
1360.544351 72.509452 
1360.644351 68.371898 
1360.744351 62.096667 
1360.844351 53.867368 
1360.944351 43.941125 
1361.044351 32.639245 
1361.144351 20.334030 
1361.244351 7.432647 
1361.344351 -5.640726 
1361.444351 -18.463098 
1361.544351 -30.629866 
1361.644351 -41.769890 
1361.744351 -51.557665 
1361.844351 -59.722154 
1361.944351 -66.052282 
1362.044351 -70.399326 
1362.144351 -72.676708 
1362.244351 -72.857760 
1362.344351 -70.972072 
1362.444351 -67.100969 
1362.544351 -61.372574 
1362.644351 -53.956770 
1362.744351 -45.060277 
1362.844351 -34.921928 
1362.944351 -23.808107 
1363.044351 -12.008261 
1363.144351 0.169707 
1363.244351 12.404364 
1363.344351 24.366230 
1363.444351 35.724056 
1363.544351 46.152058 
1363.644351 55.338223 
1363.744351 62.993651 
1363.844351 68.862764 
1363.944351 72.733996 
1364.044351 74.450394 
1364.144351 73.919354 
1364.244351 71.120614 
1364.344351 66.111552 
1364.444351 59.028965 
1364.544351 50.086692 
1364.644351 39.568864 
1364.744351 27.818941 
1364.844351 15.225224 
1364.944351 2.203871 
1365.044351 -10.819260 
