# time model 
2338.340752 1.000854 
2338.340944 1.000859 
2338.341136 1.000864 
2338.341327 1.000869 
2338.341519 1.000873 
2338.341710 1.000878 
2338.341902 1.000883 
2338.342093 1.000888 
2338.342285 1.000893 
2338.342476 1.000897 
2338.342668 1.000902 
2338.342859 1.000907 
2338.343051 1.000912 
2338.343242 1.000917 
2338.343434 1.000921 
2338.343625 1.000926 
2338.343817 1.000931 
2338.344008 1.000936 
2338.344200 1.000940 
2338.344391 1.000945 
2338.344583 1.000950 
2338.344774 1.000955 
2338.344966 1.000960 
2338.345157 1.000964 
2338.345349 1.000969 
2338.345540 1.000974 
2338.345732 1.000979 
2338.345923 1.000984 
2338.346115 1.000988 
2338.346306 1.000993 
2338.346498 1.000998 
2338.346689 1.001003 
2338.346881 1.001007 
2338.347072 1.001012 
2338.347264 1.001017 
2338.347455 1.001022 
2338.347647 1.001026 
2338.347838 1.001031 
2338.348030 1.001036 
2338.348221 1.001041 
2338.348413 1.001046 
2338.348604 1.001050 
2338.348796 1.001055 
2338.348987 1.001060 
2338.349179 1.001065 
2338.349370 1.001069 
2338.349562 1.001074 
2338.349753 1.001079 
2338.349945 1.001084 
2338.350136 1.001088 
2338.350328 1.001093 
2338.350519 1.001098 
2338.350711 1.001103 
2338.350902 1.001107 
2338.351094 1.001112 
2338.351285 1.001117 
2338.351477 1.001122 
2338.351668 1.001126 
2338.351860 1.001131 
2338.352051 1.001136 
2338.352243 1.001141 
2338.352434 1.001145 
2338.352626 1.001150 
2338.352817 1.001155 
2338.353009 1.001160 
2338.353200 1.001164 
2338.353392 1.001169 
2338.353583 1.001174 
2338.353775 1.001178 
2338.353966 1.001183 
2338.354158 1.001188 
2338.354349 1.001193 
2338.354541 1.001197 
2338.354732 1.001202 
2338.354924 1.001207 
2338.355115 1.001212 
2338.355307 1.001216 
2338.355498 1.001221 
2338.355690 1.001226 
2338.355881 1.001230 
2338.356073 1.001235 
2338.356264 1.001240 
2338.356456 1.001245 
2338.356647 1.001249 
2338.356839 1.001254 
2338.357030 1.001259 
2338.357222 1.001263 
2338.357413 1.001268 
2338.357605 1.001273 
2338.357796 1.001278 
2338.357988 1.001282 
2338.358179 1.001287 
2338.358371 1.001292 
2338.358562 1.001296 
2338.358754 1.001301 
