# time model 
1339.244351 12.417493 
1339.344351 -0.605428 
1339.444351 -13.553359 
1339.544351 -26.016943 
1339.644351 -37.611881 
1339.744351 -47.992188 
1339.844351 -56.860663 
1339.944351 -63.976304 
1340.044351 -69.158732 
1340.144351 -72.289866 
1340.244351 -73.313320 
1340.344351 -72.231999 
1340.444351 -69.104424 
1340.544351 -64.040233 
1340.644351 -57.195230 
1340.744351 -48.766253 
1340.844351 -38.986008 
1340.944351 -28.117938 
1341.044351 -16.451074 
1341.144351 -4.294796 
1341.244351 8.026686 
1341.344351 20.180270 
1341.444351 31.830517 
1341.544351 42.646960 
1341.644351 52.312242 
1341.744351 60.531066 
1341.844351 67.039822 
1341.944351 71.616568 
1342.044351 74.090916 
1342.144351 74.353192 
1342.244351 72.362141 
1342.344351 68.150378 
1342.444351 61.826863 
1342.544351 53.575798 
1342.644351 43.651646 
1342.744351 32.370287 
1342.844351 20.096721 
1342.944351 7.230090 
1343.044351 -5.812948 
1343.144351 -18.615322 
1343.244351 -30.775941 
1343.344351 -41.924377 
1343.444351 -51.733055 
1343.544351 -59.926518 
1343.644351 -66.287628 
1343.744351 -70.660842 
1343.844351 -72.952923 
1343.944351 -73.131554 
1344.044351 -71.222367 
1344.144351 -67.304886 
1344.244351 -61.507810 
1344.344351 -54.003963 
1344.444351 -45.005138 
1344.544351 -34.756942 
1344.644351 -23.533664 
1344.744351 -11.633111 
1344.844351 0.628730 
1344.944351 12.923351 
1345.044351 24.915891 
1345.144351 36.271974 
1345.244351 46.665351 
1345.344351 55.786365 
1345.444351 63.351202 
1345.544351 69.111701 
1345.644351 72.865366 
1345.744351 74.465040 
1345.844351 73.827581 
1345.944351 70.940755 
1346.044351 65.867587 
1346.144351 58.747454 
1346.244351 49.793462 
1346.344351 39.285888 
1346.444351 27.561890 
1346.544351 15.002031 
1346.644351 2.014501 
1346.744351 -10.981839 
1346.844351 -23.574414 
1346.944351 -35.372753 
1347.044351 -46.022251 
1347.144351 -55.215224 
1347.244351 -62.698952 
1347.344351 -68.280674 
1347.444351 -71.829794 
1347.544351 -73.277694 
1347.644351 -72.615644 
1347.744351 -69.891348 
1347.844351 -65.204578 
1347.944351 -58.702283 
1348.044351 -50.573485 
1348.144351 -41.044108 
1348.244351 -30.371837 
1348.344351 -18.840988 
1348.444351 -6.757289 
1348.544351 5.557565 
1348.644351 17.771753 
1348.744351 29.549744 
1348.844351 40.559449 
1348.944351 50.480186 
1349.044351 59.011482 
1349.144351 65.882573 
1349.244351 70.862356 
1349.344351 73.769332 
1349.444351 74.480971 
1349.544351 72.941772 
1349.644351 69.169229 
1349.744351 63.256950 
1349.844351 55.374319 
1349.944351 45.762291 
1350.044351 34.725309 
1350.144351 22.619648 
1350.244351 9.838898 
1350.344351 -3.202424 
1350.444351 -16.085976 
1350.544351 -28.406217 
1350.644351 -39.785502 
1350.744351 -49.886817 
1350.844351 -58.423657 
1350.944351 -65.166830 
1351.044351 -69.948303 
1351.144351 -72.662393 
1351.244351 -73.264755 
1351.344351 -71.769694 
1351.444351 -68.246284 
1351.544351 -62.813758 
1351.644351 -55.636501 
1351.744351 -46.918902 
1351.844351 -36.900195 
1351.944351 -25.849329 
1352.044351 -14.059812 
1352.144351 -1.844425 
1352.244351 10.470361 
1352.344351 22.550432 
1352.444351 34.060733 
1352.544351 44.672730 
1352.644351 54.072718 
1352.744351 61.970927 
1352.844351 68.111241 
1352.944351 72.281206 
1353.044351 74.321827 
1353.144351 74.136497 
1353.244351 71.698318 
1353.344351 67.055013 
1353.444351 60.330732 
1353.544351 51.724187 
1353.644351 41.502892 
1353.744351 29.993583 
1353.844351 17.569322 
1353.944351 4.634096 
1354.044351 -8.393998 
1354.144351 -21.099805 
