# time model 
2276.235666 0.994226 
2276.235729 0.994218 
2276.235792 0.994210 
2276.235855 0.994203 
2276.235918 0.994195 
2276.235981 0.994188 
2276.236044 0.994180 
2276.236108 0.994173 
2276.236171 0.994165 
2276.236234 0.994158 
2276.236297 0.994150 
2276.236360 0.994143 
2276.236423 0.994135 
2276.236486 0.994128 
2276.236549 0.994120 
2276.236612 0.994113 
2276.236676 0.994105 
2276.236739 0.994098 
2276.236802 0.994091 
2276.236865 0.994083 
2276.236928 0.994076 
2276.236991 0.994069 
2276.237054 0.994061 
2276.237117 0.994054 
2276.237181 0.994047 
2276.237244 0.994039 
2276.237307 0.994032 
2276.237370 0.994025 
2276.237433 0.994018 
2276.237496 0.994011 
2276.237559 0.994003 
2276.237622 0.993996 
2276.237685 0.993989 
2276.237749 0.993982 
2276.237812 0.993975 
2276.237875 0.993967 
2276.237938 0.993960 
2276.238001 0.993953 
2276.238064 0.993946 
2276.238127 0.993939 
2276.238190 0.993932 
2276.238254 0.993925 
2276.238317 0.993918 
2276.238380 0.993911 
2276.238443 0.993904 
2276.238506 0.993897 
2276.238569 0.993890 
2276.238632 0.993883 
2276.238695 0.993876 
2276.238759 0.993869 
2276.238822 0.993862 
2276.238885 0.993855 
2276.238948 0.993848 
2276.239011 0.993841 
2276.239074 0.993834 
2276.239137 0.993828 
2276.239200 0.993821 
2276.239263 0.993814 
2276.239327 0.993807 
2276.239390 0.993800 
2276.239453 0.993793 
2276.239516 0.993787 
2276.239579 0.993780 
2276.239642 0.993773 
2276.239705 0.993766 
2276.239768 0.993759 
2276.239832 0.993753 
2276.239895 0.993746 
2276.239958 0.993739 
2276.240021 0.993733 
2276.240084 0.993726 
2276.240147 0.993719 
2276.240210 0.993712 
2276.240273 0.993706 
2276.240336 0.993699 
2276.240400 0.993693 
2276.240463 0.993686 
2276.240526 0.993679 
2276.240589 0.993673 
2276.240652 0.993666 
2276.240715 0.993660 
2276.240778 0.993653 
2276.240841 0.993646 
2276.240905 0.993640 
2276.240968 0.993633 
2276.241031 0.993627 
2276.241094 0.993620 
2276.241157 0.993614 
2276.241220 0.993607 
2276.241283 0.993601 
2276.241346 0.993594 
2276.241409 0.993588 
2276.241473 0.993581 
2276.241536 0.993575 
2276.241599 0.993569 
2276.241662 0.993562 
2276.241725 0.993556 
2276.241788 0.993549 
2276.241851 0.993543 
2276.241914 0.993537 
2276.241978 0.993530 
2276.242041 0.993524 
2276.242104 0.993518 
2276.242167 0.993511 
2276.242230 0.993505 
2276.242293 0.993499 
2276.242356 0.993492 
2276.242419 0.993486 
2276.242483 0.993480 
2276.242546 0.993474 
2276.242609 0.993467 
2276.242672 0.993461 
2276.242735 0.993455 
2276.242798 0.993449 
2276.242861 0.993443 
2276.242924 0.993436 
2276.242987 0.993430 
2276.243051 0.993424 
2276.243114 0.993418 
2276.243177 0.993412 
2276.243240 0.993406 
2276.243303 0.993399 
2276.243366 0.993393 
2276.243429 0.993387 
2276.243492 0.993381 
2276.243556 0.993375 
2276.243619 0.993369 
2276.243682 0.993363 
2276.243745 0.993357 
2276.243808 0.993351 
2276.243871 0.993345 
2276.243934 0.993339 
2276.243997 0.993333 
2276.244060 0.993327 
2276.244124 0.993321 
2276.244187 0.993315 
2276.244250 0.993309 
2276.244313 0.993303 
2276.244376 0.993297 
2276.244439 0.993291 
2276.244502 0.993285 
2276.244565 0.993279 
2276.244629 0.993273 
2276.244692 0.993267 
2276.244755 0.993261 
2276.244818 0.993255 
2276.244881 0.993249 
2276.244944 0.993244 
2276.245007 0.993238 
2276.245070 0.993232 
2276.245133 0.993226 
2276.245197 0.993220 
2276.245260 0.993214 
2276.245323 0.993209 
2276.245386 0.993203 
2276.245449 0.993197 
2276.245512 0.993191 
2276.245575 0.993185 
2276.245638 0.993180 
2276.245702 0.993174 
2276.245765 0.993168 
2276.245828 0.993162 
2276.245891 0.993157 
2276.245954 0.993151 
2276.246017 0.993145 
2276.246080 0.993139 
2276.246143 0.993134 
2276.246207 0.993128 
2276.246270 0.993122 
2276.246333 0.993117 
2276.246396 0.993111 
2276.246459 0.993105 
2276.246522 0.993100 
2276.246585 0.993094 
2276.246648 0.993089 
2276.246711 0.993083 
2276.246775 0.993077 
2276.246838 0.993072 
2276.246901 0.993066 
2276.246964 0.993061 
2276.247027 0.993055 
2276.247090 0.993049 
2276.247153 0.993044 
2276.247216 0.993038 
2276.247280 0.993033 
2276.247343 0.993027 
2276.247406 0.993022 
2276.247469 0.993016 
2276.247532 0.993011 
2276.247595 0.993005 
2276.247658 0.993000 
2276.247721 0.992994 
2276.247784 0.992989 
2276.247848 0.992983 
2276.247911 0.992978 
2276.247974 0.992972 
2276.248037 0.992967 
2276.248100 0.992962 
2276.248163 0.992956 
2276.248226 0.992951 
2276.248289 0.992945 
2276.248353 0.992940 
2276.248416 0.992935 
2276.248479 0.992929 
2276.248542 0.992924 
2276.248605 0.992918 
2276.248668 0.992913 
2276.248731 0.992908 
2276.248794 0.992902 
2276.248857 0.992897 
2276.248921 0.992892 
2276.248984 0.992886 
2276.249047 0.992881 
2276.249110 0.992876 
2276.249173 0.992870 
2276.249236 0.992865 
2276.249299 0.992860 
2276.249362 0.992855 
2276.249426 0.992849 
2276.249489 0.992844 
2276.249552 0.992839 
2276.249615 0.992834 
2276.249678 0.992828 
2276.249741 0.992823 
2276.249804 0.992818 
2276.249867 0.992813 
2276.249931 0.992807 
2276.249994 0.992802 
2276.250057 0.992797 
2276.250120 0.992792 
2276.250183 0.992787 
2276.250246 0.992782 
2276.250309 0.992776 
2276.250372 0.992771 
2276.250435 0.992766 
2276.250499 0.992761 
2276.250562 0.992756 
2276.250625 0.992751 
2276.250688 0.992745 
2276.250751 0.992740 
2276.250814 0.992735 
2276.250877 0.992730 
2276.250940 0.992725 
2276.251004 0.992720 
2276.251067 0.992715 
2276.251130 0.992710 
2276.251193 0.992705 
2276.251256 0.992699 
2276.251319 0.992694 
2276.251382 0.992689 
2276.251445 0.992684 
2276.251508 0.992679 
2276.251572 0.992674 
2276.251635 0.992669 
2276.251698 0.992664 
2276.251761 0.992659 
2276.251824 0.992654 
2276.251887 0.992649 
2276.251950 0.992644 
2276.252013 0.992639 
2276.252077 0.992634 
2276.252140 0.992629 
2276.252203 0.992624 
2276.252266 0.992619 
2276.252329 0.992614 
2276.252392 0.992609 
2276.252455 0.992604 
2276.252518 0.992599 
2276.252581 0.992594 
2276.252645 0.992589 
2276.252708 0.992584 
2276.252771 0.992579 
2276.252834 0.992574 
2276.252897 0.992569 
2276.252960 0.992564 
2276.253023 0.992559 
2276.253086 0.992554 
2276.253150 0.992549 
2276.253213 0.992544 
2276.253276 0.992539 
2276.253339 0.992534 
2276.253402 0.992529 
2276.253465 0.992524 
2276.253528 0.992519 
2276.253591 0.992514 
2276.253654 0.992509 
2276.253718 0.992504 
2276.253781 0.992499 
2276.253844 0.992494 
2276.253907 0.992490 
2276.253970 0.992485 
2276.254033 0.992480 
2276.254096 0.992475 
2276.254159 0.992470 
2276.254223 0.992465 
2276.254286 0.992460 
2276.254349 0.992455 
2276.254412 0.992450 
2276.254475 0.992445 
2276.254538 0.992440 
2276.254601 0.992435 
2276.254664 0.992430 
2276.254728 0.992425 
2276.254791 0.992420 
2276.254854 0.992415 
2276.254917 0.992410 
2276.254980 0.992405 
2276.255043 0.992400 
2276.255106 0.992395 
2276.255169 0.992390 
2276.255232 0.992385 
2276.255296 0.992380 
2276.255359 0.992375 
2276.255422 0.992370 
2276.255485 0.992365 
2276.255548 0.992360 
2276.255611 0.992355 
2276.255674 0.992350 
2276.255737 0.992345 
2276.255801 0.992340 
2276.255864 0.992335 
2276.255927 0.992330 
2276.255990 0.992325 
2276.256053 0.992320 
2276.256116 0.992315 
2276.256179 0.992310 
2276.256242 0.992305 
2276.256305 0.992300 
2276.256369 0.992295 
2276.256432 0.992289 
2276.256495 0.992284 
2276.256558 0.992279 
2276.256621 0.992274 
2276.256684 0.992269 
2276.256747 0.992264 
2276.256810 0.992258 
2276.256874 0.992253 
2276.256937 0.992248 
2276.257000 0.992243 
2276.257063 0.992238 
2276.257126 0.992232 
2276.257189 0.992227 
2276.257252 0.992222 
2276.257315 0.992216 
2276.257378 0.992211 
2276.257442 0.992206 
2276.257505 0.992200 
2276.257568 0.992195 
2276.257631 0.992190 
2276.257694 0.992184 
2276.257757 0.992179 
2276.257820 0.992173 
2276.257883 0.992168 
2276.257947 0.992162 
2276.258010 0.992157 
2276.258073 0.992151 
2276.258136 0.992146 
