# epoch model 
2453597.945326 196.824130 
2453598.045326 173.573425 
2453598.145326 136.444542 
2453598.245326 88.406145 
2453598.345326 33.299176 
2453598.445326 -24.470251 
2453598.545326 -80.283142 
2453598.645326 -129.676942 
2453598.745326 -168.702336 
2453598.845326 -194.239022 
2453598.945326 -204.245199 
2453599.045326 -197.920815 
2453599.145326 -175.771541 
2453599.245326 -139.568337 
2453599.345326 -92.205854 
2453599.445326 -37.470991 
2453599.545326 20.259890 
2453599.645326 76.370878 
2453599.745326 126.375582 
2453599.845326 166.275843 
2453599.945326 192.881408 
2453600.045326 204.065012 
2453600.145326 198.932463 
2453600.245326 177.894137 
2453600.345326 142.632167 
2453600.445326 95.965947 
2453600.545326 41.626707 
2453600.645326 -16.040825 
2453600.745326 -72.425801 
2453600.845326 -123.019925 
2453600.945326 -163.777909 
2453601.045326 -191.440922 
2453601.145326 -203.797148 
2453601.245326 -199.858639 
2453601.345326 -179.940299 
2453601.445326 -145.634714 
2453601.545326 -99.684808 
2453601.645326 -45.764538 
2453601.745326 11.814867 
2453601.845326 68.449606 
2453601.945326 119.611411 
2453602.045326 161.209607 
2453602.145326 189.918182 
2453602.245326 203.441722 
2453602.345326 200.698945 
2453602.445326 181.909150 
2453602.545326 148.574688 
2453602.645326 103.360839 
2453602.745326 49.882705 
2453602.845326 -7.583833 
2453602.945326 -64.444001 
2453603.045326 -116.151506 
2453603.145326 -158.572041 
2453603.245326 -188.313843 
2453603.345326 -202.998886 
2453603.445326 -201.453019 
2453603.545326 -183.799842 
2453603.645326 -151.450827 
2453603.745326 -106.992460 
2453603.845326 -53.979441 
2453603.945326 3.349541 
2453604.045326 60.410708 
2453604.145326 112.641697 
2453604.245326 155.866344 
2453604.345326 186.628594 
2453604.445326 202.468831 
2453604.545326 202.120539 
2453604.645326 185.611564 
2453604.745326 154.261894 
2453604.845326 110.578112 
2453604.945326 58.052984 
2453605.045326 0.886191 
2453605.145326 -56.351459 
2453605.245326 -109.083490 
2453605.345326 -153.093678 
2453605.445326 -184.863159 
2453605.545326 -201.851784 
2453605.645326 -202.701216 
2453605.745326 -187.343538 
2453605.845326 -157.006682 
2453605.945326 -114.116254 
2453606.045326 -62.101584 
2453606.145326 -5.121541 
2453606.245326 52.267998 
2453606.345326 105.478415 
2453606.445326 150.255235 
2453606.545326 183.018298 
2453606.645326 201.148011 
2453606.745326 203.194802 
2453606.845326 188.995018 
2453606.945326 159.684012 
2453607.045326 117.605364 
2453607.145326 66.123502 
2453607.245326 9.354691 
2453607.345326 -48.162080 
2453607.445326 -101.828020 
2453607.545326 -147.352234 
2453607.645326 -181.094801 
2453607.745326 -200.357814 
2453607.845326 -203.601085 
2453607.945326 -190.565296 
2453608.045326 -162.292732 
2453608.145326 -121.043946 
2453608.245326 -70.117010 
2453608.345326 -13.583822 
2453608.445326 44.035469 
2453608.545326 98.133875 
2453608.645326 144.385922 
2453608.745326 179.093497 
2453608.845326 199.481533 
2453608.945326 203.919890 
2453609.045326 192.053697 
2453609.145326 164.831723 
2453609.245326 124.430520 
2453609.345326 74.080392 
2453609.445326 17.807117 
2453609.545326 -39.889938 
2453609.645326 -94.397566 
2453609.745326 -141.357575 
2453609.845326 -177.015245 
2453609.945326 -198.519543 
2453610.045326 -204.151080 
2453610.145326 -193.459581 
2453610.245326 -167.299894 
2453610.345326 -127.763632 
2453610.445326 -78.011945 
2453610.545326 -22.022760 
2453610.645326 35.727268 
2453610.745326 90.620699 
2453610.845326 138.268493 
2453610.945326 174.860937 
2453611.045326 197.472258 
2453611.145326 204.294555 
2453611.245326 194.782345 
2453611.345326 169.696183 
2453611.445326 131.041850 
2453611.545326 81.909979 
2453611.645326 26.228942 
2453611.745326 -31.549248 
2453611.845326 -86.804897 
2453611.945326 -135.120003 
2453612.045326 -172.631499 
2453612.145326 -196.340129 
2453612.245326 -204.350254 
2453612.345326 -196.021419 
2453612.445326 -172.019561 
2453612.545326 -134.263766 
2453612.645326 -85.772821 
2453612.745326 -30.423854 
2453612.845326 27.357673 
2453612.945326 82.951798 
2453613.045326 131.913458 
2453613.145326 170.327890 
2453613.245326 195.123642 
2453613.345326 204.318154 
2453613.445326 197.176272 
2453613.545326 174.269031 
2453613.645326 137.427994 
2453613.745326 89.598810 
2453613.845326 34.605694 
2453613.945326 -23.154343 
2453614.045326 -79.063059 
2453614.145326 -128.650236 
2453614.245326 -167.951098 
2453614.345326 -193.823319 
2453614.445326 -204.198267 
2453614.545326 -198.246408 
2453614.645326 -176.443625 
2453614.745326 -140.533176 
2453614.845326 -93.386303 
2453614.945326 -38.772666 
2453615.045326 18.941065 
