# epoch model 
2452179.969622 180.091568 
2452180.069622 198.484759 
2452180.169622 201.063898 
2452180.269622 187.623495 
2452180.369622 159.234400 
2452180.469622 118.158480 
2452180.569622 67.668416 
2452180.669622 11.786946 
2452180.769622 -45.033636 
2452180.869622 -98.266213 
2452180.969622 -143.669539 
2452181.069622 -177.626155 
2452181.169622 -197.430604 
2452181.269622 -201.504991 
2452181.369622 -189.524691 
2452181.469622 -162.444223 
2452181.569622 -122.421192 
2452181.669622 -72.644390 
2452181.769622 -17.079726 
2452181.869622 39.845746 
2452181.969622 93.596552 
2452182.069622 139.890157 
2452182.169622 175.038170 
2452182.269622 196.240212 
2452182.369622 201.807033 
2452182.469622 191.295104 
2452182.569622 165.541951 
2452182.669622 126.599427 
2452182.769622 77.570235 
2452182.869622 22.360720 
2452182.969622 -34.630359 
2452183.069622 -88.862304 
2452183.169622 -136.014243 
2452183.269622 -172.329399 
2452183.369622 -194.914402 
2452183.469622 -201.969818 
2452183.569622 -192.933513 
2452183.669622 -168.525445 
2452183.769622 -130.690301 
2452183.869622 -82.442552 
2452183.969622 -27.626285 
2452184.069622 29.391076 
2452184.169622 84.066735 
2452184.269622 132.044471 
2452184.369622 169.501711 
2452184.469622 193.454091 
2452184.569622 201.993232 
2452184.669622 194.438786 
2452184.769622 171.392648 
2452184.869622 134.690991 
2452184.969622 87.257979 
2452185.069622 32.872785 
2452185.169622 -24.131511 
2452185.269622 -79.213156 
2452185.369622 -127.983581 
2452185.469622 -166.557057 
2452185.569622 -191.860285 
2452185.669622 -201.877259 
2452185.769622 -195.809887 
2452185.869622 -174.141580 
2452185.969622 -138.598737 
2452186.069622 -92.013194 
2452186.169622 -38.096602 
2452186.269622 18.855294 
2452186.369622 74.304916 
2452186.469622 123.834376 
2452186.569622 163.497470 
2452186.669622 190.134085 
2452186.769622 201.621979 
2452186.869622 197.045867 
2452186.969622 176.770344 
2452187.069622 142.410842 
2452187.169622 96.704914 
2452187.269622 43.294129 
2452187.369622 -13.566066 
2452187.469622 -69.345401 
2452187.569622 -119.599718 
2452187.669622 -160.325060 
2452187.769622 -188.276682 
2452187.869622 -201.227570 
2452187.969622 -198.145874 
2452188.069622 -179.277127 
2452188.169622 -146.124675 
2452188.269622 -101.329902 
2452188.369622 -48.461782 
2452188.469622 8.267477 
2452188.569622 64.338033 
2452188.669622 115.282529 
2452188.769622 157.042017 
2452188.869622 186.289358 
2452188.969622 200.694302 
2452189.069622 199.109150 
2452189.169622 181.660199 
2452189.269622 149.737674 
2452189.369622 105.884967 
2452189.469622 53.595993 
2452189.569622 -2.963182 
2452189.669622 -59.286269 
2452189.769622 -110.885789 
2452189.869622 -153.650606 
2452189.969622 -184.173483 
2452190.069622 -200.022543 
2452190.169622 -199.935030 
2452190.269622 -183.917915 
2452190.369622 -153.247346 
2452190.469622 -110.366965 
2452190.569622 -58.693220 
2452190.669622 -2.343157 
2452190.769622 54.193594 
2452190.869622 106.412531 
2452190.969622 150.153168 
2452191.069622 181.930519 
2452191.169622 199.212758 
2452191.269622 200.622943 
2452191.369622 186.048718 
2452191.469622 156.651269 
2452191.569622 114.772804 
2452191.669622 63.749945 
2452191.769622 7.647879 
2452191.869622 -49.063523 
2452191.969622 -101.865843 
2452192.069622 -146.552116 
2452192.169622 -179.562012 
2452192.269622 -198.265505 
2452192.369622 -201.172415 
2452192.469622 -188.051136 
2452192.569622 -159.947093 
2452192.669622 -119.099444 
2452192.769622 -68.762679 
2452192.869622 -12.947324 
2452192.969622 43.899594 
2452193.069622 97.248862 
2452193.169622 142.849934 
2452193.269622 177.069597 
2452193.369622 197.181437 
2452193.469622 201.583066 
2452193.569622 189.923789 
2452193.669622 163.132545 
2452193.769622 123.343898 
2452193.869622 73.727963 
2452193.969622 18.237834 
2452194.069622 -38.705373 
2452194.169622 -92.564773 
2452194.269622 -139.049178 
2452194.369622 -174.454994 
2452194.469622 -195.961304 
2452194.569622 -201.854614 
2452194.669622 -191.665383 
2452194.769622 -166.205427 
2452194.869622 -127.503238 
2452194.969622 -78.642370 
2452195.069622 -23.515760 
2452195.169622 33.484443 
2452195.269622 87.816810 
2452195.369622 135.152470 
2452195.469622 171.720008 
2452195.569622 194.605946 
2452195.669622 201.986871 
2452195.769622 193.274718 
2452195.869622 169.163617 
2452195.969622 131.574593 
2452196.069622 83.502510 
2452196.169622 28.777458 
2452196.269622 -28.240406 
2452196.369622 -83.008248 
2452196.469622 -131.162500 
2452196.569622 -168.866525 
2452196.669622 -193.116299 
2452196.769622 -201.979746 
2452196.869622 -194.750682 
2452196.969622 -172.005075 
2452197.069622 -135.555155 
2452197.169622 -88.305029 
2452197.269622 -34.019298 
2452197.369622 22.976883 
2452197.469622 78.142406 
2452197.569622 127.082019 
2452197.669622 165.896515 
2452197.769622 191.493391 
2452197.869622 201.833244 
2452197.969622 196.092258 
2452198.069622 174.727840 
2452198.169622 139.442176 
2452198.269622 93.046612 
2452198.369622 39.237663 
2452198.469622 -17.697503 
2452198.569622 -73.222641 
2452198.669622 -122.913846 
2452198.769622 -162.812027 
2452198.869622 -189.738341 
2452198.969622 -201.547465 
2452199.069622 -197.298519 
