# epoch model 
2453642.573272 1.000000 
2453642.573486 1.000000 
2453642.573701 1.000000 
2453642.573915 1.000000 
2453642.574130 1.000000 
2453642.574345 1.000000 
2453642.574559 1.000000 
2453642.574774 1.000000 
2453642.574988 1.000000 
2453642.575203 1.000000 
2453642.575418 1.000000 
2453642.575632 1.000000 
2453642.575847 1.000000 
2453642.576061 1.000000 
2453642.576276 1.000000 
2453642.576491 1.000000 
2453642.576705 1.000000 
2453642.576920 1.000000 
2453642.577134 1.000000 
2453642.577349 1.000000 
2453642.577564 1.000000 
2453642.577778 1.000000 
2453642.577993 1.000000 
2453642.578207 1.000000 
2453642.578422 1.000000 
2453642.578637 1.000000 
2453642.578851 1.000000 
2453642.579066 1.000000 
2453642.579280 1.000000 
2453642.579495 1.000000 
2453642.579710 1.000000 
2453642.579924 1.000000 
2453642.580139 1.000000 
2453642.580353 1.000000 
2453642.580568 1.000000 
2453642.580782 1.000000 
2453642.580997 1.000000 
2453642.581212 1.000000 
2453642.581426 1.000000 
2453642.581641 1.000000 
2453642.581855 1.000000 
2453642.582070 1.000000 
2453642.582285 1.000000 
2453642.582499 1.000000 
2453642.582714 1.000000 
2453642.582928 1.000000 
2453642.583143 1.000000 
2453642.583358 1.000000 
2453642.583572 1.000000 
2453642.583787 1.000000 
2453642.584001 1.000000 
2453642.584216 1.000000 
2453642.584431 1.000000 
2453642.584645 1.000000 
2453642.584860 1.000000 
2453642.585074 1.000000 
2453642.585289 1.000000 
2453642.585504 1.000000 
2453642.585718 1.000000 
2453642.585933 1.000000 
2453642.586147 1.000000 
2453642.586362 1.000000 
2453642.586577 1.000000 
2453642.586791 1.000000 
2453642.587006 1.000000 
2453642.587220 1.000000 
2453642.587435 1.000000 
2453642.587649 1.000000 
2453642.587864 1.000000 
2453642.588079 1.000000 
2453642.588293 1.000000 
2453642.588508 1.000000 
2453642.588722 1.000000 
2453642.588937 1.000000 
2453642.589152 1.000000 
2453642.589366 1.000000 
2453642.589581 1.000000 
2453642.589795 1.000000 
2453642.590010 1.000000 
2453642.590225 1.000000 
2453642.590439 1.000000 
2453642.590654 1.000000 
2453642.590868 1.000000 
2453642.591083 1.000000 
2453642.591298 1.000000 
2453642.591512 1.000000 
2453642.591727 1.000000 
2453642.591941 1.000000 
2453642.592156 1.000000 
2453642.592371 1.000000 
2453642.592585 1.000000 
2453642.592800 1.000000 
2453642.593014 1.000000 
2453642.593229 1.000000 
2453642.593444 1.000000 
2453642.593658 1.000000 
2453642.593873 1.000000 
2453642.594087 1.000000 
2453642.594302 1.000000 
2453642.594517 1.000000 
2453642.594731 1.000000 
2453642.594946 1.000000 
2453642.595160 1.000000 
2453642.595375 1.000000 
2453642.595589 1.000000 
2453642.595804 1.000000 
2453642.596019 1.000000 
2453642.596233 1.000000 
2453642.596448 1.000000 
2453642.596662 1.000000 
2453642.596877 1.000000 
2453642.597092 1.000000 
2453642.597306 1.000000 
2453642.597521 1.000000 
2453642.597735 1.000000 
2453642.597950 1.000000 
2453642.598165 1.000000 
2453642.598379 1.000000 
2453642.598594 1.000000 
2453642.598808 1.000000 
2453642.599023 1.000000 
2453642.599238 1.000000 
2453642.599452 1.000000 
2453642.599667 1.000000 
2453642.599881 1.000000 
2453642.600096 1.000000 
2453642.600311 1.000000 
2453642.600525 1.000000 
2453642.600740 1.000000 
2453642.600954 1.000000 
2453642.601169 1.000000 
2453642.601384 1.000000 
2453642.601598 1.000000 
2453642.601813 1.000000 
2453642.602027 1.000000 
2453642.602242 1.000000 
2453642.602456 1.000000 
2453642.602671 1.000000 
2453642.602886 1.000000 
2453642.603100 1.000000 
2453642.603315 1.000000 
2453642.603529 1.000000 
2453642.603744 1.000000 
2453642.603959 1.000000 
2453642.604173 1.000000 
2453642.604388 1.000000 
2453642.604602 1.000000 
2453642.604817 1.000000 
2453642.605032 1.000000 
2453642.605246 1.000000 
2453642.605461 1.000000 
2453642.605675 1.000000 
2453642.605890 1.000000 
2453642.606105 1.000000 
2453642.606319 1.000000 
2453642.606534 1.000000 
2453642.606748 1.000000 
2453642.606963 1.000000 
2453642.607178 1.000000 
2453642.607392 1.000000 
2453642.607607 1.000000 
2453642.607821 1.000000 
2453642.608036 1.000000 
2453642.608251 1.000000 
2453642.608465 1.000000 
2453642.608680 1.000000 
2453642.608894 1.000000 
2453642.609109 1.000000 
2453642.609323 1.000000 
2453642.609538 1.000000 
2453642.609753 1.000000 
2453642.609967 1.000000 
2453642.610182 1.000000 
2453642.610396 1.000000 
2453642.610611 1.000000 
2453642.610826 1.000000 
2453642.611040 1.000000 
2453642.611255 1.000000 
2453642.611469 1.000000 
2453642.611684 1.000000 
2453642.611899 1.000000 
2453642.612113 1.000000 
2453642.612328 1.000000 
2453642.612542 1.000000 
2453642.612757 1.000000 
2453642.612972 1.000000 
2453642.613186 1.000000 
2453642.613401 1.000000 
2453642.613615 1.000000 
2453642.613830 1.000000 
2453642.614045 1.000000 
2453642.614259 1.000000 
2453642.614474 1.000000 
2453642.614688 1.000000 
2453642.614903 1.000000 
2453642.615118 1.000000 
2453642.615332 1.000000 
2453642.615547 1.000000 
2453642.615761 1.000000 
2453642.615976 1.000000 
2453642.616190 1.000000 
2453642.616405 1.000000 
2453642.616620 1.000000 
2453642.616834 1.000000 
2453642.617049 1.000000 
2453642.617263 1.000000 
2453642.617478 1.000000 
2453642.617693 1.000000 
2453642.617907 1.000000 
2453642.618122 1.000000 
2453642.618336 1.000000 
2453642.618551 1.000000 
2453642.618766 1.000000 
2453642.618980 1.000000 
2453642.619195 1.000000 
2453642.619409 1.000000 
2453642.619624 1.000000 
2453642.619839 1.000000 
2453642.620053 1.000000 
2453642.620268 1.000000 
2453642.620482 1.000000 
2453642.620697 1.000000 
2453642.620912 1.000000 
2453642.621126 1.000000 
2453642.621341 1.000000 
2453642.621555 1.000000 
2453642.621770 1.000000 
2453642.621985 1.000000 
2453642.622199 1.000000 
2453642.622414 1.000000 
2453642.622628 1.000000 
2453642.622843 1.000000 
2453642.623057 1.000000 
2453642.623272 1.000000 
2453642.623487 1.000000 
2453642.623701 1.000000 
2453642.623916 1.000000 
2453642.624130 1.000000 
2453642.624345 1.000000 
2453642.624560 1.000000 
2453642.624774 1.000000 
2453642.624989 1.000000 
2453642.625203 1.000000 
2453642.625418 1.000000 
2453642.625633 1.000000 
2453642.625847 1.000000 
2453642.626062 1.000000 
2453642.626276 1.000000 
2453642.626491 1.000000 
2453642.626706 1.000000 
2453642.626920 1.000000 
2453642.627135 1.000000 
2453642.627349 1.000000 
2453642.627564 1.000000 
2453642.627779 1.000000 
2453642.627993 1.000000 
2453642.628208 1.000000 
2453642.628422 1.000000 
2453642.628637 1.000000 
2453642.628852 1.000000 
2453642.629066 1.000000 
2453642.629281 1.000000 
2453642.629495 1.000000 
2453642.629710 1.000000 
2453642.629925 1.000000 
2453642.630139 1.000000 
2453642.630354 1.000000 
2453642.630568 1.000000 
2453642.630783 1.000000 
2453642.630997 1.000000 
2453642.631212 1.000000 
2453642.631427 1.000000 
2453642.631641 1.000000 
2453642.631856 1.000000 
2453642.632070 1.000000 
2453642.632285 1.000000 
2453642.632500 1.000000 
2453642.632714 1.000000 
2453642.632929 1.000000 
2453642.633143 1.000000 
2453642.633358 1.000000 
2453642.633573 1.000000 
2453642.633787 1.000000 
2453642.634002 1.000000 
2453642.634216 1.000000 
2453642.634431 1.000000 
2453642.634646 1.000000 
2453642.634860 1.000000 
2453642.635075 1.000000 
2453642.635289 1.000000 
2453642.635504 1.000000 
2453642.635719 1.000000 
2453642.635933 1.000000 
2453642.636148 1.000000 
2453642.636362 1.000000 
2453642.636577 1.000000 
2453642.636792 1.000000 
2453642.637006 1.000000 
2453642.637221 1.000000 
2453642.637435 1.000000 
2453642.637650 1.000000 
2453642.637864 1.000000 
2453642.638079 1.000000 
2453642.638294 1.000000 
2453642.638508 1.000000 
2453642.638723 1.000000 
2453642.638937 1.000000 
2453642.639152 1.000000 
2453642.639367 1.000000 
2453642.639581 1.000000 
2453642.639796 1.000000 
2453642.640010 1.000000 
2453642.640225 1.000000 
2453642.640440 1.000000 
2453642.640654 1.000000 
2453642.640869 1.000000 
2453642.641083 1.000000 
2453642.641298 1.000000 
2453642.641513 1.000000 
2453642.641727 1.000000 
2453642.641942 1.000000 
2453642.642156 1.000000 
2453642.642371 1.000000 
2453642.642586 1.000000 
2453642.642800 1.000000 
2453642.643015 1.000000 
2453642.643229 1.000000 
2453642.643444 1.000000 
2453642.643659 1.000000 
2453642.643873 1.000000 
2453642.644088 1.000000 
2453642.644302 1.000000 
2453642.644517 1.000000 
2453642.644731 1.000000 
2453642.644946 1.000000 
2453642.645161 1.000000 
2453642.645375 1.000000 
2453642.645590 1.000000 
2453642.645804 1.000000 
2453642.646019 1.000000 
2453642.646234 1.000000 
2453642.646448 1.000000 
2453642.646663 1.000000 
2453642.646877 1.000000 
2453642.647092 1.000000 
2453642.647307 1.000000 
2453642.647521 1.000000 
2453642.647736 1.000000 
2453642.647950 1.000000 
2453642.648165 1.000000 
2453642.648380 1.000000 
2453642.648594 1.000000 
2453642.648809 1.000000 
2453642.649023 1.000000 
2453642.649238 1.000000 
2453642.649453 1.000000 
2453642.649667 1.000000 
2453642.649882 1.000000 
2453642.650096 1.000000 
2453642.650311 1.000000 
2453642.650526 1.000000 
2453642.650740 1.000000 
2453642.650955 1.000000 
2453642.651169 1.000000 
2453642.651384 1.000000 
2453642.651598 1.000000 
2453642.651813 1.000000 
2453642.652028 1.000000 
2453642.652242 1.000000 
2453642.652457 1.000000 
2453642.652671 1.000000 
2453642.652886 1.000000 
2453642.653101 1.000000 
2453642.653315 1.000000 
2453642.653530 1.000000 
2453642.653744 1.000000 
2453642.653959 1.000000 
2453642.654174 1.000000 
2453642.654388 1.000000 
2453642.654603 1.000000 
2453642.654817 1.000000 
2453642.655032 1.000000 
2453642.655247 1.000000 
2453642.655461 1.000000 
2453642.655676 1.000000 
2453642.655890 1.000000 
2453642.656105 1.000000 
2453642.656320 1.000000 
2453642.656534 1.000000 
2453642.656749 1.000000 
2453642.656963 1.000000 
2453642.657178 1.000000 
2453642.657393 1.000000 
2453642.657607 1.000000 
2453642.657822 1.000000 
2453642.658036 1.000000 
2453642.658251 1.000000 
2453642.658465 1.000000 
2453642.658680 1.000000 
2453642.658895 1.000000 
2453642.659109 1.000000 
2453642.659324 1.000000 
2453642.659538 1.000000 
2453642.659753 1.000000 
2453642.659968 1.000000 
2453642.660182 1.000000 
2453642.660397 1.000000 
2453642.660611 1.000000 
2453642.660826 1.000000 
2453642.661041 1.000000 
2453642.661255 1.000000 
2453642.661470 0.999996 
2453642.661684 0.999936 
2453642.661899 0.999837 
2453642.662114 0.999709 
2453642.662328 0.999555 
2453642.662543 0.999379 
2453642.662757 0.999183 
2453642.662972 0.998967 
2453642.663187 0.998734 
2453642.663401 0.998484 
2453642.663616 0.998219 
2453642.663830 0.997938 
2453642.664045 0.997644 
2453642.664260 0.997336 
2453642.664474 0.997015 
2453642.664689 0.996682 
2453642.664903 0.996338 
2453642.665118 0.995983 
2453642.665333 0.995617 
2453642.665547 0.995242 
2453642.665762 0.994857 
2453642.665976 0.994464 
2453642.666191 0.994062 
2453642.666405 0.993652 
2453642.666620 0.993235 
2453642.666835 0.992811 
2453642.667049 0.992381 
2453642.667264 0.991944 
2453642.667478 0.991503 
2453642.667693 0.991056 
2453642.667908 0.990606 
2453642.668122 0.990151 
2453642.668337 0.989693 
2453642.668551 0.989232 
2453642.668766 0.988770 
2453642.668981 0.988305 
2453642.669195 0.987839 
2453642.669410 0.987373 
2453642.669624 0.986908 
2453642.669839 0.986443 
2453642.670054 0.985979 
2453642.670268 0.985518 
2453642.670483 0.985061 
2453642.670697 0.984607 
2453642.670912 0.984158 
2453642.671127 0.983714 
2453642.671341 0.983278 
2453642.671556 0.982849 
2453642.671770 0.982430 
2453642.671985 0.982022 
2453642.672200 0.981626 
2453642.672414 0.981245 
2453642.672629 0.980880 
2453642.672843 0.980535 
2453642.673058 0.980215 
2453642.673272 0.979925 
2453642.673487 0.979679 
2453642.673702 0.979504 
2453642.673916 0.979344 
2453642.674131 0.979191 
2453642.674345 0.979044 
2453642.674560 0.978903 
2453642.674775 0.978767 
2453642.674989 0.978635 
2453642.675204 0.978507 
2453642.675418 0.978384 
2453642.675633 0.978263 
2453642.675848 0.978146 
2453642.676062 0.978032 
2453642.676277 0.977921 
2453642.676491 0.977813 
2453642.676706 0.977707 
2453642.676921 0.977604 
2453642.677135 0.977503 
2453642.677350 0.977404 
2453642.677564 0.977308 
2453642.677779 0.977213 
2453642.677994 0.977121 
2453642.678208 0.977030 
2453642.678423 0.976942 
2453642.678637 0.976855 
2453642.678852 0.976770 
2453642.679067 0.976686 
2453642.679281 0.976605 
2453642.679496 0.976524 
2453642.679710 0.976446 
2453642.679925 0.976368 
2453642.680139 0.976293 
2453642.680354 0.976218 
2453642.680569 0.976145 
2453642.680783 0.976073 
2453642.680998 0.976003 
2453642.681212 0.975933 
2453642.681427 0.975865 
2453642.681642 0.975798 
2453642.681856 0.975733 
2453642.682071 0.975668 
2453642.682285 0.975605 
2453642.682500 0.975542 
2453642.682715 0.975481 
2453642.682929 0.975421 
2453642.683144 0.975361 
2453642.683358 0.975303 
2453642.683573 0.975246 
2453642.683788 0.975189 
2453642.684002 0.975134 
2453642.684217 0.975079 
