# epoch model 
2450519.689362 -178.220768 
2450519.789362 -143.025129 
2450519.889362 -96.434362 
2450519.989362 -42.160456 
2450520.089362 15.472466 
2450520.189362 71.872662 
2450520.289362 122.546605 
2450520.389362 163.456990 
2450520.489362 191.344395 
2450520.589362 203.986971 
2450520.689362 200.377454 
2450520.789362 180.803424 
2450520.889362 146.824386 
2450520.989362 101.147525 
2450521.089362 47.412018 
2450521.189362 -10.100909 
2450521.289362 -66.809075 
2450521.389362 -118.194414 
2450521.489362 -160.162944 
2450521.589362 -189.370938 
2450521.689362 -203.491332 
2450521.789362 -201.399123 
2450521.889362 -183.261001 
2450521.989362 -150.522071 
2450522.089362 -105.790715 
2450522.189362 -52.630780 
2450522.289362 4.722365 
2450522.389362 61.699270 
2450522.489362 113.760457 
2450522.589362 156.758098 
2450522.689362 187.266475 
2450522.789362 202.854919 
2450522.889362 202.281464 
2450522.989362 185.591799 
2450523.089362 154.115625 
2450523.189362 110.360720 
2450523.289362 57.813133 
2450523.389362 0.659446 
2450523.489362 -56.546781 
2450523.589362 -109.247801 
2450523.689362 -153.244807 
2450523.789362 -185.032462 
2450523.889362 -202.078172 
2450523.989362 -203.023869 
2450524.089362 -187.794205 
2450524.189362 -157.602564 
2450524.289362 -114.854378 
2450524.389362 -62.955491 
2450524.489362 -6.040800 
2450524.589362 51.355174 
2450524.689362 104.659568 
2450524.789362 149.625503 
2450524.889362 182.670445 
2450524.989362 201.161629 
2450525.089362 203.625822 
2450525.189362 189.866697 
2450525.289362 160.980474 
2450525.389362 119.268580 
2450525.489362 68.054296 
2450525.589362 11.417976 
2450525.689362 -46.128039 
2450525.789362 -99.998932 
2450525.889362 -145.902689 
2450525.989362 -180.182057 
2450526.089362 -200.105923 
2450526.189362 -204.086909 
2450526.289362 -191.807841 
2450526.389362 -164.247018 
2450526.489362 -123.600273 
2450526.589362 -73.106022 
2450526.689362 -16.787253 
2450526.789362 40.868994 
2450526.889362 95.269118 
2450526.989362 142.078941 
2450527.089362 177.569021 
2450527.189362 198.911786 
2450527.289362 204.406810 
2450527.389362 193.616292 
2450527.489362 167.399938 
2450527.589362 127.846460 
2450527.689362 78.107174 
2450527.789362 22.144916 
2450527.889362 -35.581675 
2450527.989362 -90.473397 
2450528.089362 -138.156903 
2450528.189362 -174.833144 
2450528.289362 -197.580042 
2450528.389362 -204.585303 
2450528.489362 -195.290801 
