# epoch model 
2459384.743571 1.000000 
2459384.747043 1.000000 
2459384.750516 1.000000 
2459384.753988 1.000000 
2459384.757460 1.000000 
2459384.760932 1.000000 
2459384.764404 1.000000 
2459384.767877 1.000000 
2459384.771349 1.000000 
2459384.774821 1.000000 
2459384.778293 1.000000 
2459384.781766 1.000000 
2459384.785238 1.000000 
2459384.788710 1.000000 
2459384.792182 1.000000 
2459384.795654 1.000000 
2459384.799127 1.000000 
2459384.802599 1.000000 
2459384.806071 1.000000 
2459384.809543 1.000000 
2459384.813016 1.000000 
2459384.816488 1.000000 
2459384.819960 1.000000 
2459384.823432 1.000000 
2459384.826904 1.000000 
2459384.830377 1.000000 
2459384.833849 1.000000 
2459384.837321 1.000000 
2459384.840793 1.000000 
2459384.844266 1.000000 
2459384.847738 1.000000 
2459384.851210 1.000000 
2459384.854682 1.000000 
2459384.858154 1.000000 
2459384.861627 1.000000 
2459384.865099 1.000000 
2459384.868571 1.000000 
2459384.872043 1.000000 
2459384.875516 1.000000 
2459384.878988 1.000000 
2459384.882460 1.000000 
2459384.885932 1.000000 
2459384.889404 1.000000 
2459384.892877 1.000000 
2459384.896349 1.000000 
2459384.899821 1.000000 
2459384.903293 1.000000 
2459384.906766 1.000000 
2459384.910238 1.000000 
2459384.913710 1.000000 
2459384.917182 1.000000 
2459384.920654 1.000000 
2459384.924127 1.000000 
2459384.927599 1.000000 
2459384.931071 1.000000 
2459384.934543 1.000000 
2459384.938016 1.000000 
2459384.941488 1.000000 
2459384.944960 1.000000 
2459384.948432 1.000000 
2459384.951904 1.000000 
2459384.955377 1.000000 
2459384.958849 1.000000 
2459384.962321 1.000000 
2459384.965793 1.000000 
2459384.969266 1.000000 
2459384.972738 1.000000 
2459384.976210 1.000000 
2459384.979682 1.000000 
2459384.983154 1.000000 
2459384.986627 1.000000 
2459384.990099 1.000000 
2459384.993571 1.000000 
2459384.997043 1.000000 
2459385.000516 1.000000 
2459385.003988 1.000000 
2459385.007460 1.000000 
2459385.010932 1.000000 
2459385.014404 1.000000 
2459385.017877 1.000000 
2459385.021349 1.000000 
2459385.024821 1.000000 
2459385.028293 1.000000 
2459385.031766 1.000000 
2459385.035238 1.000000 
2459385.038710 1.000000 
2459385.042182 1.000000 
2459385.045654 1.000000 
2459385.049127 1.000000 
2459385.052599 1.000000 
2459385.056071 1.000000 
2459385.059543 1.000000 
2459385.063016 1.000000 
2459385.066488 1.000000 
2459385.069960 1.000000 
2459385.073432 1.000000 
2459385.076904 1.000000 
2459385.080377 1.000000 
2459385.083849 1.000000 
2459385.087321 1.000000 
2459385.090793 1.000000 
2459385.094266 1.000000 
2459385.097738 1.000000 
2459385.101210 1.000000 
2459385.104682 1.000000 
2459385.108154 1.000000 
2459385.111627 1.000000 
2459385.115099 1.000000 
2459385.118571 1.000000 
2459385.122043 1.000000 
2459385.125516 1.000000 
2459385.128988 1.000000 
2459385.132460 1.000000 
2459385.135932 1.000000 
2459385.139404 1.000000 
2459385.142877 1.000000 
2459385.146349 1.000000 
2459385.149821 1.000000 
2459385.153293 1.000000 
2459385.156766 1.000000 
2459385.160238 1.000000 
2459385.163710 1.000000 
2459385.167182 1.000000 
2459385.170654 1.000000 
2459385.174127 1.000000 
2459385.177599 1.000000 
2459385.181071 1.000000 
2459385.184543 1.000000 
2459385.188016 1.000000 
2459385.191488 1.000000 
2459385.194960 1.000000 
2459385.198432 1.000000 
2459385.201904 1.000000 
2459385.205377 1.000000 
2459385.208849 1.000000 
2459385.212321 1.000000 
2459385.215793 1.000000 
2459385.219266 1.000000 
2459385.222738 1.000000 
2459385.226210 1.000000 
2459385.229682 1.000000 
2459385.233154 1.000000 
2459385.236627 1.000000 
2459385.240099 1.000000 
2459385.243571 1.000000 
2459385.247043 1.000000 
2459385.250516 1.000000 
2459385.253988 1.000000 
2459385.257460 1.000000 
2459385.260932 1.000000 
2459385.264404 1.000000 
2459385.267877 1.000000 
2459385.271349 1.000000 
2459385.274821 1.000000 
2459385.278293 1.000000 
2459385.281766 1.000000 
2459385.285238 1.000000 
2459385.288710 1.000000 
2459385.292182 1.000000 
2459385.295654 1.000000 
2459385.299127 1.000000 
2459385.302599 1.000000 
2459385.306071 1.000000 
2459385.309543 1.000000 
2459385.313016 1.000000 
2459385.316488 1.000000 
2459385.319960 1.000000 
2459385.323432 1.000000 
2459385.326904 1.000000 
2459385.330377 1.000000 
2459385.333849 1.000000 
2459385.337321 1.000000 
2459385.340793 1.000000 
2459385.344266 1.000000 
2459385.347738 1.000000 
2459385.351210 1.000000 
2459385.354682 1.000000 
2459385.358154 1.000000 
2459385.361627 1.000000 
2459385.365099 1.000000 
2459385.368571 1.000000 
2459385.372043 1.000000 
2459385.375516 1.000000 
2459385.378988 1.000000 
2459385.382460 1.000000 
2459385.385932 1.000000 
2459385.389404 1.000000 
