# epoch model 
2453693.677932 1.000000 
2453693.678040 1.000000 
2453693.678148 1.000000 
2453693.678256 1.000000 
2453693.678364 1.000000 
2453693.678473 1.000000 
2453693.678581 1.000000 
2453693.678689 1.000000 
2453693.678797 1.000000 
2453693.678905 1.000000 
2453693.679013 1.000000 
2453693.679122 1.000000 
2453693.679230 1.000000 
2453693.679338 1.000000 
2453693.679446 1.000000 
2453693.679554 1.000000 
2453693.679662 1.000000 
2453693.679771 1.000000 
2453693.679879 1.000000 
2453693.679987 1.000000 
2453693.680095 1.000000 
2453693.680203 1.000000 
2453693.680311 1.000000 
2453693.680420 1.000000 
2453693.680528 1.000000 
2453693.680636 1.000000 
2453693.680744 1.000000 
2453693.680852 1.000000 
2453693.680960 1.000000 
2453693.681069 1.000000 
2453693.681177 1.000000 
2453693.681285 1.000000 
2453693.681393 1.000000 
2453693.681501 1.000000 
2453693.681609 1.000000 
2453693.681718 1.000000 
2453693.681826 1.000000 
2453693.681934 1.000000 
2453693.682042 1.000000 
2453693.682150 1.000000 
2453693.682258 1.000000 
2453693.682367 1.000000 
2453693.682475 1.000000 
2453693.682583 1.000000 
2453693.682691 1.000000 
2453693.682799 1.000000 
2453693.682907 1.000000 
2453693.683016 1.000000 
2453693.683124 1.000000 
2453693.683232 1.000000 
2453693.683340 1.000000 
2453693.683448 1.000000 
2453693.683556 1.000000 
2453693.683665 1.000000 
2453693.683773 1.000000 
2453693.683881 1.000000 
2453693.683989 1.000000 
2453693.684097 1.000000 
2453693.684205 1.000000 
2453693.684314 1.000000 
2453693.684422 1.000000 
2453693.684530 1.000000 
2453693.684638 1.000000 
2453693.684746 1.000000 
2453693.684854 1.000000 
2453693.684963 1.000000 
2453693.685071 1.000000 
2453693.685179 1.000000 
2453693.685287 1.000000 
2453693.685395 1.000000 
2453693.685503 1.000000 
2453693.685612 1.000000 
2453693.685720 1.000000 
2453693.685828 1.000000 
2453693.685936 1.000000 
2453693.686044 1.000000 
2453693.686152 1.000000 
2453693.686261 1.000000 
2453693.686369 1.000000 
2453693.686477 1.000000 
2453693.686585 1.000000 
2453693.686693 1.000000 
2453693.686801 1.000000 
2453693.686910 1.000000 
2453693.687018 1.000000 
2453693.687126 1.000000 
2453693.687234 1.000000 
2453693.687342 1.000000 
2453693.687450 1.000000 
2453693.687559 1.000000 
2453693.687667 1.000000 
2453693.687775 1.000000 
2453693.687883 1.000000 
2453693.687991 1.000000 
2453693.688099 1.000000 
2453693.688208 1.000000 
2453693.688316 1.000000 
2453693.688424 1.000000 
2453693.688532 1.000000 
2453693.688640 1.000000 
2453693.688748 1.000000 
2453693.688857 1.000000 
2453693.688965 1.000000 
2453693.689073 1.000000 
2453693.689181 1.000000 
2453693.689289 1.000000 
2453693.689398 1.000000 
2453693.689506 1.000000 
2453693.689614 1.000000 
2453693.689722 1.000000 
2453693.689830 1.000000 
2453693.689938 1.000000 
2453693.690047 1.000000 
2453693.690155 1.000000 
2453693.690263 1.000000 
2453693.690371 1.000000 
2453693.690479 1.000000 
2453693.690587 1.000000 
2453693.690696 1.000000 
2453693.690804 1.000000 
2453693.690912 1.000000 
2453693.691020 1.000000 
2453693.691128 1.000000 
2453693.691236 1.000000 
2453693.691345 1.000000 
2453693.691453 1.000000 
2453693.691561 1.000000 
2453693.691669 1.000000 
2453693.691777 1.000000 
2453693.691885 1.000000 
2453693.691994 1.000000 
2453693.692102 1.000000 
2453693.692210 1.000000 
2453693.692318 1.000000 
2453693.692426 1.000000 
2453693.692534 1.000000 
2453693.692643 1.000000 
2453693.692751 1.000000 
2453693.692859 1.000000 
2453693.692967 1.000000 
2453693.693075 1.000000 
2453693.693183 1.000000 
2453693.693292 1.000000 
2453693.693400 1.000000 
2453693.693508 1.000000 
2453693.693616 1.000000 
2453693.693724 1.000000 
2453693.693832 1.000000 
2453693.693941 1.000000 
2453693.694049 1.000000 
2453693.694157 1.000000 
2453693.694265 1.000000 
2453693.694373 1.000000 
2453693.694481 1.000000 
2453693.694590 1.000000 
2453693.694698 1.000000 
2453693.694806 1.000000 
2453693.694914 1.000000 
2453693.695022 1.000000 
2453693.695130 1.000000 
2453693.695239 1.000000 
2453693.695347 1.000000 
2453693.695455 1.000000 
2453693.695563 1.000000 
2453693.695671 1.000000 
2453693.695779 1.000000 
2453693.695888 1.000000 
2453693.695996 1.000000 
2453693.696104 1.000000 
2453693.696212 1.000000 
2453693.696320 0.999982 
2453693.696428 0.999958 
2453693.696537 0.999934 
2453693.696645 0.999893 
2453693.696753 0.999852 
2453693.696861 0.999807 
2453693.696969 0.999753 
2453693.697077 0.999698 
2453693.697186 0.999637 
2453693.697294 0.999572 
2453693.697402 0.999507 
2453693.697510 0.999433 
2453693.697618 0.999358 
2453693.697726 0.999282 
2453693.697835 0.999198 
2453693.697943 0.999114 
2453693.698051 0.999027 
2453693.698159 0.998935 
2453693.698267 0.998844 
2453693.698375 0.998746 
2453693.698484 0.998647 
2453693.698592 0.998548 
2453693.698700 0.998442 
2453693.698808 0.998337 
2453693.698916 0.998229 
2453693.699024 0.998117 
2453693.699133 0.998004 
2453693.699241 0.997889 
2453693.699349 0.997771 
2453693.699457 0.997653 
2453693.699565 0.997530 
2453693.699673 0.997406 
2453693.699782 0.997282 
2453693.699890 0.997153 
2453693.699998 0.997024 
2453693.700106 0.996894 
2453693.700214 0.996760 
2453693.700322 0.996626 
2453693.700431 0.996490 
2453693.700539 0.996351 
2453693.700647 0.996213 
2453693.700755 0.996072 
2453693.700863 0.995929 
2453693.700971 0.995786 
2453693.701080 0.995640 
2453693.701188 0.995493 
2453693.701296 0.995346 
2453693.701404 0.995196 
2453693.701512 0.995045 
2453693.701620 0.994894 
2453693.701729 0.994740 
2453693.701837 0.994586 
2453693.701945 0.994431 
2453693.702053 0.994274 
2453693.702161 0.994117 
2453693.702269 0.993958 
2453693.702378 0.993799 
2453693.702486 0.993639 
2453693.702594 0.993477 
2453693.702702 0.993315 
2453693.702810 0.993152 
2453693.702919 0.992988 
2453693.703027 0.992823 
2453693.703135 0.992658 
2453693.703243 0.992491 
2453693.703351 0.992324 
2453693.703459 0.992158 
2453693.703568 0.991989 
2453693.703676 0.991820 
2453693.703784 0.991651 
2453693.703892 0.991481 
2453693.704000 0.991311 
2453693.704108 0.991140 
2453693.704217 0.990969 
2453693.704325 0.990797 
2453693.704433 0.990625 
2453693.704541 0.990453 
2453693.704649 0.990280 
2453693.704757 0.990108 
2453693.704866 0.989934 
2453693.704974 0.989761 
2453693.705082 0.989587 
2453693.705190 0.989413 
2453693.705298 0.989240 
2453693.705406 0.989066 
2453693.705515 0.988892 
2453693.705623 0.988718 
2453693.705731 0.988544 
2453693.705839 0.988370 
2453693.705947 0.988196 
2453693.706055 0.988022 
2453693.706164 0.987849 
2453693.706272 0.987675 
2453693.706380 0.987502 
2453693.706488 0.987329 
